density,U
0.01,-0.8745283870861889
0.11,-7.657126171114035
0.21,-12.876017547083544
0.31,-17.11654577728318
0.41,-20.592726655471942
0.51,-23.42602442383696
0.61,-25.697112678847695
0.71,-27.46443701155684
0.81,-28.772772925626825
0.91,-29.65779252426747
1.01,-30.148751759489514
1.11,-30.270187473050257
1.21,-30.043048172209183
1.31,-29.48547999603403
1.41,-28.613392003542174
1.51,-27.44087438726868
1.61,-25.980515310555305
1.71,-24.243645852040885
1.81,-22.240532709171276
1.91,-19.980532131226795
2.01,-17.472214542747878
2.11,-14.723466645527083
2.21,-11.741575962563047
2.31,-8.533301514776525
2.41,-5.104933416759678
2.51,-1.462343523848773
2.61,2.38897121734459
2.71,6.443851420380184
2.81,10.697442887468611
2.91,15.145168395820093
3.01,19.782702981418254
3.11,24.60595218340103
3.21,29.611032809478445
3.31,34.79425585988429
3.41,40.152111309013435
3.51,45.68125449350589
3.61,51.37849389579378
3.71,57.24078014498372
3.81,63.26519608391129
3.91,69.44894777350584
4.01,75.78935632409718
4.11,82.28385045875575
4.21,88.92995972670957
4.31,95.72530829581473
4.41,102.66760926227977
4.51,109.75465942372978
4.61,116.98433446836935
4.71,124.35458453877152
4.81,131.86343013373573
4.91,139.50895831593374
5.01,147.28931919672755
5.11,155.2027226727526
5.21,163.24743539164677
5.31,171.42177792672845
5.41,179.72412214255297
5.51,188.15288873516738
5.61,196.70654493249287
5.71,205.38360234175445
5.81,214.18261493212748
5.91,223.1021771419314
