density,U
0.01,-0.7775285599477276
0.11,-7.532375041810236
0.21,-13.066155803259782
0.31,-17.646982028444082
0.41,-21.395237483187465
0.51,-24.38644093477584
0.61,-26.674360615451747
0.71,-28.300092528428056
0.81,-29.296523795918205
0.91,-29.690837401820694
1.01,-29.506048581956243
1.11,-28.76200999186139
1.21,-27.476102405282504
1.31,-25.663728053196067
1.41,-23.33867421728398
1.51,-20.513388240300912
1.61,-17.19919012454602
1.71,-13.40643997282136
1.81,-9.144672003140897
1.91,-4.422703327274633
2.01,0.7512766558614885
2.11,6.369631986645146
2.21,12.425217825496162
2.31,18.911327700850165
2.41,25.821648498319718
2.51,33.1502217760158
2.61,40.89141029656503
2.71,49.03986889659359
2.81,57.59051899005328
2.91,66.53852613721509
3.01,75.87928021671252
3.11,85.60837782106486
3.21,95.72160656202823
3.31,106.21493102486829
3.41,117.0844801531897
3.51,128.32653588049124
3.61,139.93752285286502
3.71,151.91399911048285
3.81,164.25264761474
3.91,176.95026852392328
4.01,190.0037721336447
4.11,203.41017240953386
4.21,217.16658104917377
4.31,231.27020201832022
4.41,245.71832651330823
4.51,260.50832830741166
4.61,275.63765944396226
4.71,291.1038462433676
4.81,306.90448559492444
4.91,323.03724150756915
5.01,339.49984189654293
5.11,356.2900755854129
5.21,373.4057895050608
5.31,390.8448860731319
5.41,408.6053207391249
5.51,426.6850996817571
5.61,445.08227764655436
5.71,463.7949559127599
5.81,482.8212803796878
5.91,502.159439763556
