density,U
0.01,-0.8952918751003507
0.11,-6.686548712286179
0.21,-11.6448524759071
0.31,-16.173482302083116
0.41,-20.30864683263553
0.51,-24.064480663920108
0.61,-27.453228162003825
0.71,-30.487423294845996
0.81,-33.17980007335554
0.91,-35.542979739912894
1.01,-37.5892366228187
1.11,-39.33035900274814
1.21,-40.77757897131934
1.31,-41.94154667517512
1.41,-42.83233159410864
1.51,-43.45943957457604
1.61,-43.83183851309187
1.71,-43.95798828467588
1.81,-43.84587222280169
1.91,-43.50302853390804
2.01,-42.936580705128335
2.11,-42.15326638695237
2.21,-41.159464496179936
2.31,-39.96122044730461
2.41,-38.564269519147416
2.51,-36.97405842154075
2.61,-35.195765158940674
2.71,-33.234317303624294
2.81,-31.094408796685343
2.91,-28.780515394350402
3.01,-26.29690887276081
3.11,-23.647670097925356
3.21,-20.836701060100836
3.31,-17.867735964082385
3.41,-14.744351459149811
3.51,-11.469976085005896
3.61,-8.04789900306838
3.71,-4.48127807600406
3.81,-0.7731473524649459
3.91,3.0735759914399523
4.01,7.056085207311753
4.11,11.171677984080588
4.21,15.41775087391386
4.31,19.791794099835897
4.41,24.291386713758243
4.51,28.91419207651876
4.61,33.65795363416652
4.71,38.520490967083504
4.81,43.49969609066835
4.91,48.59352998820617
5.01,53.80001935828881
5.11,59.11725356068024
5.21,64.54338174593619
5.31,70.07661015534757
5.41,75.71519957892059
5.51,81.45746296012953
5.61,87.30176313712161
5.71,93.24651071090665
5.81,99.29016203181828
5.91,105.43121729623368
