density,U
0.01,-0.9212148973617483
0.11,-7.7099255188807545
0.21,-12.946753192431306
0.31,-17.289660079395563
0.41,-20.891869447332724
0.51,-23.82128447482483
0.61,-26.116831015266847
0.71,-27.80444054284651
0.81,-28.90316091638526
0.91,-29.42795023931321
1.01,-29.39112166389999
1.11,-28.803162208344702
1.21,-27.673231191151554
1.31,-26.009481649024412
1.41,-23.819277709228018
1.51,-21.109347589038535
1.61,-17.885895003905173
1.71,-14.154682685948671
1.81,-9.921096587643596
1.91,-5.1901963259921615
2.01,0.03324442255986426
2.11,5.744705030709071
2.21,11.939890743028712
2.31,18.614709927634593
2.41,25.765254815445633
2.51,33.3877850252531
2.61,41.478713342897514
2.71,50.034593345752704
2.81,59.05210855395057
2.91,68.52806285701514
3.01,78.45937201535818
3.11,88.84305607493341
3.21,99.67623256340751
3.31,110.95611035970929
3.41,122.67998414741456
3.51,134.84522937722315
3.61,147.44929767572592
3.71,160.4897126473162
3.81,173.96406602401444
3.91,187.87001412448382
4.01,202.205274588899
4.11,216.9676233608442
4.21,232.15489189117864
4.31,247.76496454199656
4.41,263.79577617151347
4.51,280.2453098830051
4.61,297.1115949229025
4.71,314.39270471483854
4.81,332.0867550179097
4.91,350.1919021986786
5.01,368.7063416075574
5.11,387.6283060511715
5.21,406.9560643531469
5.31,426.6879199965183
5.41,446.8222098415972
5.51,467.3573029137285
5.61,488.2915992558837
5.71,509.6235288414726
5.81,531.3515505431977
5.91,553.4741511541141
