density,U
0.01,-0.6562748238642826
0.11,-7.052592787634827
0.21,-12.544401207884334
0.31,-17.181822321910857
0.41,-21.034614318049968
0.51,-24.155612869084145
0.61,-26.58560366294661
0.71,-28.357135835432103
0.81,-29.496939101655283
0.91,-30.02747883869089
1.01,-29.967994408278916
1.11,-29.33521822415475
1.21,-28.14389003143996
1.31,-26.407135082708052
1.41,-24.136748960829827
1.51,-21.34341657650605
1.61,-18.03688361445414
1.71,-14.226092891335576
1.81,-9.919294331484643
1.91,-5.12413477295857
2.01,0.1522678778046611
2.11,5.903262800086026
2.21,12.122614210528802
2.31,18.804457199286063
2.41,25.943259974742013
2.51,33.53379136487823
2.61,41.57109266664961
2.71,50.0504531196271
2.81,58.96738842222702
2.91,68.31762181911819
3.01,78.09706737479979
3.11,88.301815116646
3.21,98.92811778514024
3.31,109.9723789727326
3.41,121.43114246811125
3.51,133.30108265145248
3.61,145.57899580981547
3.71,158.26179226127132
3.81,171.346489192481
3.91,184.83020412785933
4.01,198.71014895970166
4.11,212.98362447811627
4.21,227.64801534759732
4.31,242.70078548385803
4.41,258.139473790334
4.51,273.96169021870764
4.61,290.16511212205785
4.71,306.74748087290203
4.81,323.7065987215594
4.91,341.0403258730149
5.01,358.74657776285403
5.11,376.8233225149139
5.21,395.26857856514016
5.31,414.0804124377213
5.41,433.2569366609932
5.51,452.796307811846
5.61,472.6967246784679
5.71,492.9564265322245
5.81,513.5736915003522
5.91,534.5468350319056
