density,U
0.01,-1.4446811753516293
0.11,-9.285499997264145
0.21,-14.456158432870494
0.31,-18.593076764137972
0.41,-21.987229311437915
0.51,-24.741190573956054
0.61,-26.901431908603683
0.71,-28.4924397859715
0.81,-29.528635147426748
0.91,-30.01933453112936
1.01,-29.971069661647576
1.11,-29.388766141875692
1.21,-28.27638103511505
1.31,-26.6372648786244
1.41,-24.474375295055005
1.51,-21.79040701530826
1.61,-18.587873060927556
1.71,-14.869156511088548
1.81,-10.636544100653822
1.91,-5.892248356709217
2.01,-0.6384223763846961
2.11,5.122830189465311
2.21,11.389448313580417
2.31,18.159408873915623
2.41,25.430723346500706
2.51,33.20143544973361
2.61,41.46961943214674
2.71,50.23337879581189
2.81,59.490845314311755
2.91,69.24017824914714
3.01,79.47956369895469
3.11,90.20721403675812
3.21,101.4213674047788
3.31,113.12028724620892
3.41,125.30226186017083
3.51,137.96560397078514
3.61,151.10865030453857
3.71,164.72976117235848
3.81,178.82732005433826
3.91,193.39973318607525
4.01,208.44542914626433
4.11,223.962858445623
4.21,239.95049311750716
4.31,256.40682631070484
4.41,273.3303718849945
4.51,290.7196640100541
4.61,308.5732567683091
4.71,326.8897237622639
4.81,345.6676577268107
4.91,364.9056701469608
5.01,384.60239088138314
5.11,404.7564677920745
5.21,425.3665663804385
5.31,446.4313694299886
5.41,467.94957665585315
5.51,489.9199043612066
5.61,512.3410851007284
5.71,535.2118673511266
5.81,558.5310151887712
5.91,582.2973079744231
