k,Um
0.0,-36.327532280103924
0.1,-36.32277607374408
0.2,-36.30946594428815
0.3,-36.29025430516822
0.4,-36.268824880787406
0.5,-36.248814644733784
0.6,-36.23237532280177
0.7,-36.218482011381184
0.8,-36.201175590970934
0.9,-36.16802679782222
1.0,-36.099209298623464
1.1,-35.967615277926825
1.2,-35.74036567400253
1.3,-35.381797822558156
1.4,-34.857576686300945
1.5,-34.139125600632724
1.6,-33.20734927923172
1.7,-32.05479231018353
1.8,-30.685881463339456
1.9,-29.115479415499067
2.0,-27.366362314312028
2.1,-25.466319200888393
2.2,-23.44542794609174
2.3,-21.333830006443122
2.4,-19.160115628640824
2.5,-16.950290144764494
2.6,-14.727221279994183
2.7,-12.510446998591078
2.8,-10.316231438496743
2.9,-8.157776679695644
3.0,-6.045520777518959
3.1,-3.987472937679968
3.2,-1.9895532041430215
3.3,-0.05591643469460905
3.4,1.8107508089390194
3.5,3.6089657924508174
3.6,5.338218966132672
3.7,6.998776130004217
3.8,8.591511011377406
3.9,10.117765180493961
4.0,11.57923200136861
4.1,12.977861363440525
4.2,14.315782147086793
4.3,15.595239664472729
4.4,16.818545636586805
4.5,17.988038586866423
4.6,19.106052833746617
4.7,20.174894539504066
4.8,21.19682351706865
4.9,22.174039709532053
5.0,23.108673440387975
5.1,24.0027786886003
5.2,24.85832877431085
5.3,25.67721395149215
5.4,26.46124049598552
5.5,27.212130953881797
5.6,27.931525278462914
5.7,28.620982636105964
5.8,29.28198370441669
5.9,29.915933321009106
6.0,30.524163370096858
6.1,31.10793581750795
6.2,31.668445823810544
6.3,32.20682488073135
6.4,32.72414392860196
6.5,33.22141642266365
6.6,33.69960132424512
6.7,34.159605999327596
6.8,34.602289012244
6.9,35.02846280639915
7.0,35.43889626715054
7.1,35.83431716457335
7.2,36.21541447579216
7.3,36.58284058811796
7.4,36.93721338534647
7.5,37.279118220451664
7.6,37.6091097785054
7.7,37.92771383407626
7.8,38.23542890763542
7.9,38.53272782564591
8.0,38.82005918905429
8.1,39.097848754924826
8.2,39.36650073584042
8.3,39.62639902162846
8.4,39.87790832779797
8.5,40.12137527492655
8.6,40.357129403068484
8.7,40.585484125050016
8.8,40.80673762234437
8.9,41.02117368703739
9.0,41.229062513181816
9.1,41.43066144067507
9.2,41.62621565461768
9.3,41.815958842912096
9.4,42.00011381473723
9.5,42.17889308232134
9.6,42.35249940834865
9.7,42.52112632112221
9.8,42.68495859953373
9.9,42.84417272971996
10.0,42.998937335175015
10.1,43.149413581994395
10.2,43.29575556078089
10.3,43.43811064667989
10.4,43.57661983890375
10.5,43.711418080990825
10.6,43.84263456302688
10.7,43.970393006892664
10.8,44.09481193561942
10.9,44.216004927786344
11.0,44.33408085789597
