k,Um
0.0,-29.41976675043111
0.1,-29.368535407909803
0.2,-29.214629504296
0.3,-28.957426423987954
0.4,-28.595937653678902
0.5,-28.128904951723598
0.6,-27.554988119772133
0.7,-26.873119290616614
0.8,-26.083156975413658
0.9,-25.18706121661512
1.0,-24.190906376021303
1.1,-23.108003253945526
1.2,-21.962766851815786
1.3,-20.79308365895963
1.4,-19.64671395519963
1.5,-18.56966745627369
1.6,-17.593326907452365
1.7,-16.729989851488426
1.8,-15.97726064425342
1.9,-15.324955590833497
2.0,-14.760248640023292
2.1,-14.2704376778006
2.2,-13.844106183649501
2.3,-13.471448209986875
2.4,-13.144222094116003
2.5,-12.855567416306258
2.6,-12.599791331703273
2.7,-12.372167460798437
2.8,-12.168761787734411
2.9,-11.986287725890406
3.0,-11.821987766478514
3.1,-11.673537705700937
3.2,-11.538969404763293
3.3,-11.416608501440805
3.4,-11.305024083864055
3.5,-11.20298790396987
3.6,-11.109441197229899
3.7,-11.023467577267184
3.8,-10.944270796027013
3.9,-10.871156414713141
4.0,-10.803516630530112
4.1,-10.740817660704352
4.2,-10.68258920771109
4.3,-10.628415625601292
4.4,-10.577928482731068
4.5,-10.530800275636011
4.6,-10.486739095794974
4.7,-10.445484088372723
4.8,-10.406801571763253
4.9,-10.370481710604281
5.0,-10.33633565404807
5.1,-10.304193066539028
5.2,-10.273899990855625
5.3,-10.245316993349661
5.4,-10.218317549630001
5.5,-10.192786635752327
5.6,-10.168619495564371
5.7,-10.14572055949634
5.8,-10.124002493905891
5.9,-10.103385363270945
6.0,-10.083795890182728
6.1,-10.065166800305178
6.2,-10.047436241332889
6.3,-10.030547266545
6.4,-10.014447374875772
6.5,-9.999088100542167
6.6,-9.98442464621644
6.7,-9.97041555454075
6.8,-9.957022413471122
6.9,-9.94420959152444
7.0,-9.931943999508121
7.1,-9.920194875752031
7.2,-9.908933592219
7.3,-9.898133479217904
7.4,-9.887769666694112
7.5,-9.877818940337647
7.6,-9.86825961094496
7.7,-9.859071395654155
7.8,-9.850235309841992
7.9,-9.8417335685956
8.0,-9.833549496804153
8.1,-9.825667447020578
8.2,-9.818072724332978
8.3,-9.810751517569997
8.4,-9.803690836234864
8.5,-9.796878452636747
8.6,-9.790302848724423
8.7,-9.783953167200025
8.8,-9.777819166516565
8.9,-9.771891179416343
9.0,-9.766160074687832
9.1,-9.760617221866596
9.2,-9.75525445862013
9.3,-9.750064060578552
9.4,-9.745038713425856
9.5,-9.740171487027965
9.6,-9.735455811457541
9.7,-9.73088545474593
9.8,-9.72645450221853
9.9,-9.722157337294448
10.0,-9.717988623625388
10.1,-9.713943288476457
10.2,-9.710016507239743
10.3,-9.706203689005179
10.4,-9.70250046309593
10.5,-9.698902666507365
10.6,-9.695406332170023
10.7,-9.692007677977017
10.8,-9.688703096529935
10.9,-9.68548914553594
11.0,-9.682362538816506
