k,Um
0.0,-30.000000008477855
0.1,-29.926392501648706
0.2,-29.70643569024037
0.3,-29.34274984248782
0.4,-28.839776259595965
0.5,-28.203877668698624
0.6,-27.443455093841294
0.7,-26.569053665349657
0.8,-25.59341820258487
0.9,-24.531448613914336
1.0,-23.400000008002507
1.1,-22.217479815481283
1.2,-21.003220746273428
1.3,-19.77665531233629
1.4,-18.55637550210122
1.5,-17.359209194265304
1.6,-16.199459296006808
1.7,-15.088420566069999
1.8,-14.034222815439307
1.9,-13.04197506739797
2.0,-12.114131192352033
2.1,-11.250976967580982
2.2,-10.451147708440885
2.3,-9.712111279787905
2.4,-9.030580034798504
2.5,-8.402838744752898
2.6,-7.824991066859184
2.7,-7.293135249034776
2.8,-6.803482675678879
2.9,-6.3524326406386535
3.0,-5.936615000627171
3.1,-5.552910131985072
3.2,-5.198453437213857
3.3,-4.870629770372943
3.4,-4.5670616420284205
3.5,-4.2855939073633635
3.6,-4.024276782177594
3.7,-3.7813484097791843
3.8,-3.5552177609031332
3.9,-3.3444483419068547
4.0,-3.1477429768158345
4.1,-2.9639297883602467
4.2,-2.791949411450787
4.3,-2.6308434146371837
4.4,-2.47974387030672
4.5,-2.3378639952363756
4.6,-2.204489774265994
4.7,-2.078972477747584
4.8,-1.960721985465625
4.9,-1.849200834269368
5.0,-1.7439189125468602
5.1,-1.6444287311558128
5.2,-1.5503212070302652
5.3,-1.4612219020996235
5.4,-1.3767876662286653
5.5,-1.2967036384898165
5.6,-1.220680566204237
5.7,-1.1484524058223542
5.8,-1.0797741738426794
5.9,-1.0144200196921247
6.0,-0.952181495751347
6.1,-0.8928660026203943
6.2,-0.8362953902885693
6.3,-0.7823046981336574
6.4,-0.7307410186506331
6.5,-0.6814624715884747
6.6,-0.6343372766827997
6.7,-0.5892429145612823
6.8,-0.5460653665522841
6.9,-0.5046984252112452
7.0,-0.4650430682752358
7.1,-0.42700688958461797
7.2,-0.39050358122108264
7.3,-0.3554524617397874
7.4,-0.3217780459401638
7.5,-0.28940965209858405
7.6,-0.25828104303991495
7.7,-0.22833009778810265
7.8,-0.19949851089768345
7.9,-0.17173151686029087
8.0,-0.14497763724466495
8.1,-0.11918844848491972
8.2,-0.09431836841895347
8.3,-0.07032445989580083
8.4,-0.04716624991328899
8.5,-0.02480556291607172
8.6,-0.0032063670121260657
8.7,0.017665368019152083
8.8,0.03784180193679276
8.9,0.05735334538394454
9.0,0.07622877221228919
9.1,0.09449532351709422
9.2,0.11217880409776626
9.3,0.129303671937123
9.4,0.1458931212864627
9.5,0.16196915985847227
9.6,0.1775526806054586
9.7,0.1926635285071825
9.8,0.20732056275392097
9.9,0.22154171469446737
10.0,0.23534404186057145
10.1,0.2487437783738642
10.2,0.2617563820099349
10.3,0.2743965781623956
10.4,0.28667840094522035
10.5,0.29861523163435777
10.6,0.31021983465461744
10.7,0.3215043912737201
10.8,0.3324805311817727
10.9,0.3431593620989588
11.0,0.3535514975546903
