k,Um
0.0,-30.000000031339823
0.1,-29.897722621679804
0.2,-29.590300471162664
0.3,-29.075971478659994
0.4,-28.35183368122307
0.5,-27.41393445304334
0.6,-26.257487755407283
0.7,-24.87736286694735
0.8,-23.269130267041646
0.9,-21.431212156691345
1.0,-19.369116781173034
1.1,-17.10315132640835
1.2,-14.680232132287529
1.3,-12.18514645419259
1.4,-9.735941815221622
1.5,-7.4503620582615895
1.6,-5.404627303463258
1.7,-3.6216565534200527
1.8,-2.087747162987398
1.9,-0.7732766899491708
2.0,0.35447351087395873
2.1,1.3256746997483333
2.2,2.1661997700166467
2.3,2.897545474578692
2.4,3.5373430904169254
2.5,4.099999974453567
2.6,4.5973013412792625
2.7,5.038921442116589
2.8,5.43283967853381
2.9,5.785672911864367
3.0,6.102938799653657
3.1,6.389264114944126
3.2,6.648549806326173
3.3,6.884102236160288
3.4,7.098737998724346
3.5,7.294868061600027
3.6,7.4745656689103726
3.7,7.639621436127982
3.8,7.7915882921670345
3.9,7.9318183322936875
4.0,8.061493192127273
4.1,8.181649205270105
4.2,8.293198339414857
4.3,8.396945698831814
4.4,8.493604220430143
4.5,8.583807065162773
4.6,8.66811810819695
4.7,8.74704085375447
4.8,8.821026039139952
4.9,8.89047814362084
5.0,8.95576097876392
5.1,9.017202505458044
5.2,9.075098997535633
5.3,9.129718651403664
5.4,9.181304724387473
5.5,9.230078270871445
5.6,9.276240534118187
5.7,9.319975042453734
5.8,9.36144945087949
5.9,9.400817162880458
6.0,9.438218761921007
6.1,9.47378327776687
6.2,9.507629309068534
6.3,9.5398660205758
6.4,9.570594030753227
6.5,9.599906203350884
6.6,9.627888354650395
6.7,9.654619886495539
6.8,9.680174353898565
6.9,9.70461997482903
7.0,9.72802008883832
7.1,9.750433570303812
7.2,9.771915201359434
7.3,9.792516008950543
7.4,9.812283569904594
7.5,9.831262287445497
7.6,9.849493642168
7.7,9.867016420135087
7.8,9.883866920454466
7.9,9.900079144413212
8.0,9.91568496803302
8.1,9.930714299673582
8.2,9.945195224159079
8.3,9.95915413472153
8.4,9.972615853936531
8.5,9.985603744672062
8.6,9.99813981200009
8.7,10.01024479689272
8.8,10.021938262453205
8.9,10.033238673358937
9.0,10.044163469114665
9.1,10.0547291316675
9.2,10.064951247865338
9.3,10.07484456721977
9.4,10.084423055354364
9.5,10.093699943512547
9.6,10.102687774458445
9.7,10.111398445056693
9.8,10.119843245811353
9.9,10.128032897608591
10.0,10.13597758588412
10.1,10.143686992420953
10.2,10.151170324966188
10.3,10.158436344835991
10.4,10.165493392654753
10.5,10.17234941238712
10.6,10.179011973773868
10.7,10.18548829330939
10.8,10.191785253849503
10.9,10.197909422965495
11.0,10.203867070133583
