index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV
1563,J-33L-50K100ms_m0.6,43.45344543457031,11.879826586568214,-0.00017341343178678414
1564,J-33L-50K100ms_m0.65,44.24995422363281,11.879987989876497,-1.2010123503713999e-5
1565,J-33L-50K100ms_m0.7,45.57136535644531,11.880021867444626,2.186744462484569e-5
1566,J-33L-50K100ms_m0.75,46.34880065917969,11.880064063683278,6.406368327738221e-5
1567,J-33L-50K100ms_m0.8,47.11631774902344,11.88003631600526,3.631600525899614e-5
1568,J-33L-50K100ms_m0.85,47.87467956542969,11.879963381421362,-3.661857863868079e-5
1569,J-33L-50K100ms_m0.9,48.62159729003906,11.880254602410133,0.0002546024101324207
1570,J-33L-50K100ms_m0.95,49.36088562011719,11.88007797059879,7.797059878988932e-5
1571,J-33L-50K100ms_m1.0,50.09254455566406,11.879996912160195,-3.087839806070747e-6
1572,J-33L-50K200ms_m0.6,34.092750549316406,11.880024408117833,2.4408117832663834e-5
1573,J-33L-50K200ms_m0.65,35.81012725830078,11.879989860974348,-1.0139025652833311e-5
1574,J-33L-50K200ms_m0.7,36.886634826660156,11.879926566504324,-7.34334956771221e-5
1575,J-33L-50K200ms_m0.75,37.934532165527344,11.879884007936369,-0.00011599206363221981
1576,J-33L-50K200ms_m0.8,38.95515441894531,11.880281739724879,0.00028173972487799404
1577,J-33L-50K200ms_m0.85,39.95613098144531,11.880065899228185,6.589922818456273e-5
1578,J-33L-50K200ms_m0.9,40.93421936035156,11.880196725899026,0.00019672589902519633
1579,J-33L-50K200ms_m0.95,41.89628601074219,11.879872231248925,-0.0001277687510761183
1580,J-33L-50K200ms_m1.0,42.82249450683594,11.880090031969345,9.003196934465052e-5
1581,J-33L-50K400ms_m0.6,19.129600524902344,11.879979479796845,-2.0520203156237926e-5
1582,J-33L-50K400ms_m0.65,20.826759338378906,11.880074898613458,7.489861345710835e-5
1583,J-33L-50K400ms_m0.7,22.456016540527344,11.879966274000296,-3.372599970496992e-5
1584,J-33L-50K400ms_m0.75,24.023094177246094,11.880016370033914,1.6370033913304383e-5
1585,J-33L-50K400ms_m0.8,25.535621643066406,11.880011916840132,1.1916840131576123e-5
1586,J-33L-50K400ms_m0.85,26.73686981201172,11.88009182437601,9.182437600863125e-5
1587,J-33L-50K400ms_m0.9,28.074684143066406,11.880101536572255,0.00010153657225409063
1588,J-33L-50K400ms_m0.95,29.368629455566406,11.879847748693535,-0.00015225130646534524
1589,J-33L-50K400ms_m1.0,30.622520446777344,11.880070149267397,7.014926739579153e-5
1590,J-33L-50K500ms_m0.6,12.496700286865234,11.879822565809746,-0.00017743419025428864
1591,J-33L-50K500ms_m0.65,14.47977066040039,11.879886308081254,-0.00011369191874699425
1592,J-33L-50K500ms_m0.7,16.372432708740234,11.880005527744274,5.527744272981749e-6
1593,J-33L-50K500ms_m0.75,17.861690521240234,11.88005885767285,5.885767284929955e-5
1594,J-33L-50K500ms_m0.8,19.50000762939453,11.879977383179096,-2.2616820904985957e-5
1595,J-33L-50K500ms_m0.85,21.06861114501953,11.880092407379436,9.240737943549959e-5
1596,J-33L-50K500ms_m0.9,22.571983337402344,11.879960914232868,-3.9085767133073546e-5
1597,J-33L-50K500ms_m0.95,24.01775360107422,11.87996346837771,-3.6531622290780774e-5
1598,J-33L-50K500ms_m1.0,26.26995086669922,11.879971669195214,-2.8330804786591557e-5
1599,J-33L-40K100ms_m0.6,55.87181091308594,11.8799129798917,-8.70201083014166e-5
1600,J-33L-40K100ms_m0.65,56.36085510253906,11.87979496356715,-0.00020503643285074702
1601,J-33L-40K100ms_m0.7,56.85676574707031,11.879931718935026,-6.828106497458464e-5
1602,J-33L-40K100ms_m0.75,57.89283752441406,11.880097612278902,9.761227890159319e-5
1603,J-33L-40K100ms_m0.8,58.40171813964844,11.880054812528272,5.4812528270886673e-5
1604,J-33L-40K100ms_m0.85,58.91517639160156,11.879729591486338,-0.00027040851366244567
1605,J-33L-40K100ms_m0.9,59.42405700683594,11.880080782999087,8.078299908653719e-5
1606,J-33L-40K100ms_m0.95,59.93751525878906,11.879853624180797,-0.00014637581920418086
1607,J-33L-40K100ms_m1.0,60.44868469238281,11.879939459517516,-6.054048248493871e-5
1608,J-33L-40K200ms_m0.6,45.13191223144531,11.88002308960607,2.308960606889343e-5
1609,J-33L-40K200ms_m0.65,45.92155456542969,11.880030659448536,3.065944853553049e-5
1610,J-33L-40K200ms_m0.7,47.29713439941406,11.879916087658401,-8.391234159965677e-5
1611,J-33L-40K200ms_m0.75,48.07151794433594,11.879949853519193,-5.0146480807811145e-5
1612,J-33L-40K200ms_m0.8,48.83445739746094,11.880108767157921,0.00010876715792029756
1613,J-33L-40K200ms_m0.85,49.58900451660156,11.880044434700892,4.443470089121604e-5
1614,J-33L-40K200ms_m0.9,50.33287048339844,11.879945733695834,-5.426630416671685e-5
1615,J-33L-40K200ms_m0.95,51.06834411621094,11.880083133074805,8.313307480456444e-5
1616,J-33L-40K200ms_m1.0,51.79695129394531,11.8799323660715,-6.763392850039907e-5
1617,J-33L-40K400ms_m0.6,27.98503875732422,11.87997737379645,-2.2626203550757396e-5
1618,J-33L-40K400ms_m0.65,29.38312530517578,11.879880077412466,-0.00011992258753501517
1619,J-33L-40K400ms_m0.7,30.731239318847656,11.88001526407372,1.5264073718768145e-5
1620,J-33L-40K400ms_m0.75,32.032432556152344,11.880043501951349,4.350195134783519e-5
1621,J-33L-40K400ms_m0.8,33.294715881347656,11.87984552471174,-0.00015447528826051382
1622,J-33L-40K400ms_m0.85,34.522666931152344,11.879933372475321,-6.662752467967437e-5
1623,J-33L-40K400ms_m0.9,35.72010040283203,11.87993497405401,-6.502594599133715e-5
1624,J-33L-40K400ms_m0.95,36.60625457763672,11.880049985318777,4.998531877653534e-5
1625,J-33L-40K400ms_m1.0,37.670555114746094,11.880102495388968,0.00010249538896722754
1626,J-33L-40K500ms_m0.6,20.51013946533203,11.879987594121246,-1.2405878754506716e-5
1627,J-33L-40K500ms_m0.65,22.196617126464844,11.880124386363235,0.00012438636323430785
1628,J-33L-40K500ms_m0.7,23.815956115722656,11.879817795818994,-0.00018220418100689528
1629,J-33L-40K500ms_m0.75,25.372352600097656,11.880053013243156,5.3013243155319856e-5
1630,J-33L-40K500ms_m0.8,26.87610626220703,11.880024655576378,2.4655576376986232e-5
1631,J-33L-40K500ms_m0.85,27.97435760498047,11.879948790791133,-5.120920886803049e-5
1632,J-33L-40K500ms_m0.9,29.284324645996094,11.880162456857178,0.00016245685717741765
1633,J-33L-40K500ms_m0.95,30.54889678955078,11.880080490756953,8.049075695204522e-5
1634,J-33L-40K500ms_m1.0,31.769981384277344,11.879885861678744,-0.00011413832125661827
1635,J-33L-30K100ms_m0.6,70.16090393066406,11.880026504376389,2.6504376387848083e-5
1636,J-33L-30K100ms_m0.65,70.35774230957031,11.880157530091708,0.0001575300917071587
1637,J-33L-30K100ms_m0.7,70.58357238769531,11.8798343712822,-0.00016562871780045896
1638,J-33L-30K100ms_m0.75,70.82618713378906,11.879865913097674,-0.0001340869023263025
1639,J-33L-30K100ms_m0.8,71.66389465332031,11.880017075372749,1.7075372747754614e-5
1640,J-33L-30K100ms_m0.85,71.94160461425781,11.879889268520245,-0.00011073147975615427
1641,J-33L-30K100ms_m0.9,72.22999572753906,11.879905687142568,-9.43128574331098e-5
1642,J-33L-30K100ms_m0.95,72.52220153808594,11.879947373888925,-5.262611107603732e-5
1643,J-33L-30K100ms_m1.0,72.82661437988281,11.879948356677204,-5.164332279683492e-5
1644,J-33L-30K200ms_m0.6,57.76618957519531,11.880197184607354,0.0001971846073534067
1645,J-33L-30K200ms_m0.65,58.25828552246094,11.879956414111916,-4.3585888084507474e-5
1646,J-33L-30K200ms_m0.7,58.75877380371094,11.879856616514573,-0.0001433834854278615
1647,J-33L-30K200ms_m0.75,59.25773620605469,11.87993997413622,-6.002586377995556e-5
1648,J-33L-30K200ms_m0.8,60.38230895996094,11.880209337879222,0.00020933787922139402
1649,J-33L-30K200ms_m0.85,60.90034484863281,11.879942674228474,-5.732577152706142e-5
1650,J-33L-30K200ms_m0.9,61.41609191894531,11.880090372899858,9.037289985691643e-5
1651,J-33L-30K200ms_m0.95,61.93183898925781,11.879971373898854,-2.862610114640063e-5
1652,J-33L-30K200ms_m1.0,62.44758605957031,11.879936992343247,-6.30076567542659e-5
1653,J-33L-30K400ms_m0.6,37.410011291503906,11.879929850693557,-7.014930644366757e-5
1654,J-33L-30K400ms_m0.65,39.20158386230469,11.880178189085115,0.00017818908511380016
1655,J-33L-30K400ms_m0.7,40.27427673339844,11.87988345053327,-0.00011654946673012034
1656,J-33L-30K400ms_m0.75,41.31568908691406,11.880055763543012,5.576354301162212e-5
