index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV
1,YBZ1,9.994258880615234,11.87999634177713,-3.6582228712944698e-6
2,YBZ2,4.270138740539551,11.879996400628144,-3.5993718565663357e-6
3,YBZ3,26.93103790283203,11.88000603410508,6.034105078711605e-6
4,YBZ4,11.958255767822266,11.880005518748789,5.518748787736172e-6
5,YBZ5,5.281248092651367,11.880001396507822,1.3965078213828974e-6
6,YBZ6,14.415111541748047,11.879993911767485,-6.0882325154665295e-6
7,SKSH1,NaN,NaN,NaN
8,SKSH2,4.4622087478637695,11.879994599884611,-5.4001153895200105e-6
9,LY1,9.54813003540039,11.879989386717071,-1.0613282929838874e-5
10,LY2,26.20738983154297,11.880014162443103,1.4162443102705424e-5
11,LY3,44.05845642089844,11.88002185013248,2.185013247846257e-5
12,LY4,16.616191864013672,11.880002541883925,2.5418839246782454e-6
13,HPL1,12.263622283935547,11.88000027088512,2.7088511878048394e-7
14,HPL2,19.645729064941406,11.880011186573043,1.1186573042110126e-5
15,HPL3,18.339099884033203,11.880002756026784,2.7560267827908547e-6
16,HPL4,16.19314193725586,11.879995107247652,-4.892752349050511e-6
17,NL1,13.604297637939453,11.880006683181904,6.683181902999991e-6
18,OL1,-2.765021324157715,11.879999281329688,-7.18670312593872e-7
19,NL2,14.686908721923828,11.880000603790151,6.0379015032197e-7
20,OL2,-3.3645009994506836,11.880001334793391,1.3347933904839238e-6
21,KIDS0,NaN,NaN,NaN
22,KIDSA,NaN,NaN,NaN
23,KIDSB,NaN,NaN,NaN
24,KIDSC,NaN,NaN,NaN
25,KIDSD,NaN,NaN,NaN
26,LY1_a3zero,9.54813003540039,11.879989386717071,-1.0613282929838874e-5
27,GKW2_medium,94.00772094726562,11.880015514491191,1.5514491190415924e-5
28,GKW3_medium,40.47721862792969,11.880003323093149,3.323093148210887e-6
29,GKW2+MD1_medium,19.59918975830078,11.88000836516585,8.365165848900347e-6
30,GKW3+MD2_medium,12.527599334716797,11.880006789489045,6.789489043868002e-6
31,GKW3+MD3_medium,1.8553757667541504,11.88000151853926,1.5185392587824253e-6
32,GKW2_medium(rho1.5),56.26625061035156,11.880020514009715,2.0514009714034387e-5
33,GKW3_medium(rho1.5),40.52986145019531,11.880007625898415,7.62589841407646e-6
34,GKW2_medium(rho1.5)+Kohno2(k1.0),52.24479675292969,11.879986832828251,-1.3167171749373097e-5
35,GKW3_medium(rho1.5)+Kohno3(k1.0),37.35546112060547,11.879999279208818,-7.207911831841329e-7
36,GKW3_medium(rho1.5)_a3L30,40.52986145019531,11.880007625898415,7.62589841407646e-6
37,GKW3_medium(rho1.5)_a3L60,40.52986145019531,11.880007625898415,7.62589841407646e-6
38,GKW3_medium(rho1.5)_a3L90,40.52986145019531,11.880007625898415,7.62589841407646e-6
39,GKW3_medium(rho1.5)+Kohno3(k1.0)_a3L30,37.35546112060547,11.8799992814928,-7.18507200403451e-7
40,GKW3_medium(rho1.5)+Kohno3(k1.0)_a3L60,37.35546112060547,11.879999279208818,-7.207911831841329e-7
41,GKW3_medium(rho1.5)+Kohno3(k1.0)_a3L90,37.35546112060547,11.879999279208818,-7.207911831841329e-7
42,GKW2_medium(rho1.5)+Kohno2(k1.5),52.35771179199219,11.880017772010092,1.7772010091121615e-5
43,GKW3_medium(rho1.5)+Kohno3(k1.5),37.717857360839844,11.880014565431694,1.4565431692759034e-5
44,GKW3_medium(rho1.5)+Kohno3(k1.5)_a3L30,37.717857360839844,11.880014565431694,1.4565431692759034e-5
45,GKW3_medium(rho1.5)+Kohno3(k1.5)_a3L60,37.717857360839844,11.880014565431694,1.4565431692759034e-5
46,GKW3_medium(rho1.5)+Kohno3(k1.5)_a3L90,37.717857360839844,11.880014565431694,1.4565431692759034e-5
