index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV,Etot_HYP(MeV),Etot_core(MeV)
51,J-33L-50K0ms_m0.6,55.185546875,11.880437600117318,0.000437600117317416,-101.75860470229833,-89.87816710218101
52,J-33L-50K0ms_m0.65,55.673828125,11.883101368168184,0.003101368168183072,-101.7612684703492,-89.87816710218101
53,J-33L-50K0ms_m0.7,56.259765625,11.879733555349247,-0.00026644465075342794,-101.75790065753026,-89.87816710218101
54,J-33L-50K0ms_m0.75,56.748046875,11.883324420674853,0.003324420674852391,-101.76149152285586,-89.87816710218101
55,J-33L-50K0ms_m0.8,57.333984375,11.880491837600829,0.000491837600828049,-101.75865893978184,-89.87816710218101
56,J-33L-50K0ms_m0.85,57.919921875,11.877845816471421,-0.0021541835285798783,-101.75601291865243,-89.87816710218101
57,J-33L-50K0ms_m0.9,58.408203125,11.882326608624055,0.002326608624054316,-101.76049371080506,-89.87816710218101
58,J-33L-50K0ms_m0.95,58.994140625,11.880217103760046,0.0002171037600451342,-101.75838420594106,-89.87816710218101
59,J-33L-50K0ms_m1.0,59.580078125,11.878446717458758,-0.001553282541243206,-101.75661381963977,-89.87816710218101
60,J-33L-50K300ms_m0.6,27.5732421875,11.880249067255022,0.0002490672550212736,-101.75841616943603,-89.87816710218101
61,J-33L-50K300ms_m0.65,28.9404296875,11.881857890659148,0.001857890659147543,-101.76002499284016,-89.87816710218101
62,J-33L-50K300ms_m0.7,30.3076171875,11.879404717347043,-0.0005952826529576072,-101.75757181952805,-89.87816710218101
63,J-33L-50K300ms_m0.75,31.5771484375,11.88137003649608,0.001370036496078697,-101.75953713867709,-89.87816710218101
64,J-33L-50K300ms_m0.8,32.8466796875,11.88014054197987,0.0001405419798690133,-101.75830764416088,-89.87816710218101
65,J-33L-50K300ms_m0.85,34.0673828125,11.880202773865534,0.0002027738655332456,-101.75836987604654,-89.87816710218101
66,J-33L-50K300ms_m0.9,35.2392578125,11.882041746548879,0.0020417465488780095,-101.76020884872989,-89.87816710218101
67,J-33L-50K300ms_m0.95,36.4111328125,11.881837361256586,0.0018373612565856234,-101.7600044634376,-89.87816710218101
68,J-33L-50K300ms_m1.0,37.5830078125,11.87994418017388,-5.58198261213505e-5,-101.75811128235489,-89.87816710218101
69,J-33L-50K600ms_m0.6,7.474365234375,11.880039228255598,3.9228255596768236e-5,-101.75820633043661,-89.87816710218101
70,J-33L-50K600ms_m0.65,9.635009765625,11.880396504072436,0.0003965040724356328,-101.75856360625345,-89.87816710218101
71,J-33L-50K600ms_m0.7,11.697998046875,11.879760537320223,-0.0002394626797777022,-101.75792763950123,-89.87816710218101
72,J-33L-50K600ms_m0.75,13.66943359375,11.8789151155311,-0.0010848844689004267,-101.75708221771211,-89.87816710218101
73,J-33L-50K600ms_m0.8,15.54931640625,11.879000656547035,-0.0009993434529658174,-101.75716775872804,-89.87816710218101
74,J-33L-50K600ms_m0.85,17.35595703125,11.879373824137787,-0.00062617586221414,-101.7575409263188,-89.87816710218101
75,J-33L-50K600ms_m0.9,19.08935546875,11.880974956034052,0.0009749560340512886,-101.75914205821506,-89.87816710218101
76,J-33L-50K600ms_m0.95,20.79833984375,11.87989180477831,-0.00010819522169036588,-101.75805890695932,-89.87816710218101
77,J-33L-50K600ms_m1.0,22.45849609375,11.87929119328733,-0.0007088067126712616,-101.75745829546834,-89.87816710218101
78,J-33L-40K0ms_m0.6,68.857421875,11.879919639153485,-8.036084651585895e-5,-101.7580867413345,-89.87816710218101
79,J-33L-40K0ms_m0.65,69.052734375,11.882276258661946,0.002276258661945363,-101.76044336084296,-89.87816710218101
80,J-33L-40K0ms_m0.7,69.345703125,11.88012008798782,0.00012008798781870667,-101.75828719016883,-89.87816710218101
81,J-33L-40K0ms_m0.75,69.638671875,11.879094267438006,-0.0009057325619945544,-101.75726136961902,-89.87816710218101
82,J-33L-40K0ms_m0.8,69.931640625,11.879055089933274,-0.0009449100667264787,-101.75722219211428,-89.87816710218101
83,J-33L-40K0ms_m0.85,70.224609375,11.87988352950903,-0.00011647049097085471,-101.75805063169004,-89.87816710218101
84,J-33L-40K0ms_m0.9,70.517578125,11.881535488553325,0.0015354885533245266,-101.75970259073434,-89.87816710218101
85,J-33L-40K0ms_m0.95,70.908203125,11.877679335550738,-0.0023206644492628214,-101.75584643773175,-89.87816710218101
