#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
11,6,5,0.5,0,12.553487840500708,-7.79560588449446
11,6,5,0.5,1,-1.2168886033622073,-7.79560588449446
15,8,7,0.5,0,15.057400040510302,-8.314911315121103
15,8,7,0.5,1,1.9114172982007318,-8.314911315121103
27,14,13,0.5,0,19.372917845705047,-8.235726097358622
27,14,13,0.5,1,8.196747496583953,-8.235726097358622
50,23,27,0.5,0,22.640682573704055,-8.44157857415475
50,23,27,0.5,1,14.02270924606728,-8.44157857415475
50,23,27,1.5,2,4.426536913303664,-8.44157857415475
88,39,49,0.5,0,24.95497695463723,-8.474292286602104
88,39,49,0.5,1,18.328603663621607,-8.474292286602104
88,39,49,1.5,2,10.656415858445826,-8.474292286602104
88,39,49,2.5,3,2.412414469896021,-8.474292286602104
207,82,125,0.5,0,27.13572319215791,-8.747715712667041
207,82,125,0.5,1,23.07084282106439,-8.747715712667041
207,82,125,1.5,2,18.135997850361264,-8.747715712667041
207,82,125,2.5,3,12.47636802858392,-8.747715712667041
207,82,125,3.5,4,6.261848527851498,-8.747715712667041
