#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
11,6,5,0.5,0,18.04187141248886,-3.671121289424232
11,6,5,0.5,1,6.249978407117766,-3.671121289424232
15,8,7,0.5,0,20.345889852666048,-3.606545911070672
15,8,7,0.5,1,9.559596822880891,-3.606545911070672
27,14,13,0.5,0,23.950657392836064,-2.505307969809316
27,14,13,0.5,1,15.187199140882939,-2.505307969809316
27,14,13,1.5,2,5.340225721693486,-2.505307969809316
50,23,27,0.5,0,26.750116652039026,-2.0105595573540462
50,23,27,0.5,1,20.1361945328984,-2.0105595573540462
50,23,27,1.5,2,12.317293470886682,-2.0105595573540462
50,23,27,2.5,3,3.69872123577926,-2.0105595573540462
88,39,49,0.5,0,28.626746065033785,-1.5797231313272313
88,39,49,0.5,1,23.66321457089316,-1.5797231313272313
88,39,49,1.5,2,17.65784347714316,-1.5797231313272313
88,39,49,2.5,3,10.796645051850192,-1.5797231313272313
88,39,49,3.5,4,3.2887924975289025,-1.5797231313272313
207,82,125,0.5,0,30.697569878657532,-1.5588610806104413
207,82,125,0.5,1,27.62052825268097,-1.5588610806104413
207,82,125,1.5,2,23.82334807689972,-1.5588610806104413
207,82,125,2.5,3,19.378127129634095,-1.5588610806104413
207,82,125,3.5,4,14.347998650630188,-1.5588610806104413
207,82,125,4.5,5,8.795691521723938,-1.5588610806104413
207,82,125,5.5,6,2.793355019648743,-1.5588610806104413
