#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
12,6,5,0.5,0,15.060954469213655,-6.782138675559175
12,6,5,0.5,1,0.8137792525388505,-6.782138675559175
16,8,7,0.5,0,17.649672897034336,-7.158095608029855
16,8,7,0.5,1,4.359279067688632,-7.158095608029855
28,14,13,0.5,0,21.584768204704943,-6.70596208673596
28,14,13,0.5,1,10.498227982536946,-6.70596208673596
51,23,27,0.5,0,24.729245677250105,-6.691574097214051
51,23,27,0.5,1,16.233029856937605,-6.691574097214051
51,23,27,1.5,2,6.618653788822371,-6.691574097214051
89,39,49,0.5,0,26.908875199862905,-6.572715221656885
89,39,49,0.5,1,20.412781449862905,-6.572715221656885
89,39,49,1.5,2,12.790032121249624,-6.572715221656885
89,39,49,2.5,3,4.506138536044546,-6.572715221656885
208,82,125,0.5,0,29.093750265813924,-6.727114860024205
208,82,125,0.5,1,25.072265890813924,-6.727114860024205
208,82,125,1.5,2,20.152679709173526,-6.727114860024205
208,82,125,2.5,3,14.489891318060245,-6.727114860024205
208,82,125,3.5,4,8.255211142278995,-6.727114860024205
208,82,125,4.5,5,1.6547348773253816,-6.727114860024205
