#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
12,6,5,0.5,0,15.783735607811806,-5.575768905780086
12,6,5,0.5,1,3.1514914977043844,-5.575768905780086
16,8,7,0.5,0,18.180668352036193,-5.806709202973577
16,8,7,0.5,1,6.519817827133835,-5.806709202973577
28,14,13,0.5,0,22.434051746843636,-5.080101246329438
28,14,13,0.5,1,12.841240162370951,-5.080101246329438
28,14,13,1.5,2,2.4251043744071126,-5.080101246329438
51,23,27,0.5,0,25.528387659333987,-4.891394880366654
51,23,27,0.5,1,18.266699426912112,-4.891394880366654
51,23,27,1.5,2,9.848616235994143,-4.891394880366654
51,23,27,2.5,3,0.8201957876909205,-4.891394880366654
89,39,49,0.5,0,27.82937519299685,-4.638933396491417
89,39,49,0.5,1,22.3459157203406,-4.638933396491417
89,39,49,1.5,2,15.837340280887474,-4.638933396491417
89,39,49,2.5,3,8.51761524426638,-4.638933396491417
89,39,49,3.5,4,0.6643699859350818,-4.638933396491417
208,82,125,0.5,0,29.78109234772478,-4.845732929029538
208,82,125,0.5,1,26.433588685615405,-4.845732929029538
208,82,125,1.5,2,22.339838685615405,-4.845732929029538
208,82,125,2.5,3,17.580988587959155,-4.845732929029538
208,82,125,3.5,4,12.233370484931811,-4.845732929029538
208,82,125,4.5,5,6.374708833320483,-4.845732929029538
208,82,125,5.5,6,0.1015939136580073,-4.845732929029538
