#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,10.405405140412292,-4.379346111587792
8,3,5,0.5,0,11.290824509855227,-4.322042993627386
8,3,5,0.5,1,-1.9293294775524572,-4.322042993627386
9,4,5,0.5,0,11.954127623394115,-4.267447828660918
9,4,5,0.5,1,-1.4665929538458684,-4.267447828660918
9,5,4,0.5,0,11.946768375538419,-4.298265403588243
9,5,4,0.5,1,-1.4547614134325286,-4.298265403588243
10,5,5,0.5,0,13.053283003955684,-4.134732253420443
10,5,5,0.5,1,-0.4125992973748822,-4.134732253420443
11,5,6,0.5,0,13.809365186733359,-3.9804032030208183
11,5,6,0.5,1,0.3628758526268996,-3.9804032030208183
11,6,5,0.5,0,13.802730799309685,-4.02042414602723
11,6,5,0.5,1,0.3737776285333183,-4.02042414602723
12,6,6,0.5,0,14.500605918124805,-3.7811382421832977
12,6,6,0.5,1,1.1155828010593751,-3.7811382421832977
15,7,8,0.5,0,16.201982027350326,-4.476015734882914
15,7,8,0.5,1,3.545636659918685,-4.476015734882914
15,8,7,0.5,0,16.189904928136528,-4.505505347651042
15,8,7,0.5,1,3.5456216334587936,-4.505505347651042
27,14,13,0.5,0,19.28386908754223,-3.7269516894011616
27,14,13,0.5,1,8.777132332171135,-3.7269516894011616
31,16,15,0.5,0,19.784958843701077,-2.9997279419594065
31,16,15,0.5,1,9.667824749462795,-2.9997279419594065
31,16,15,1.5,2,-0.3714292006562232,-2.9997279419594065
39,20,19,0.5,0,21.26581348478993,-3.728170598405459
39,20,19,0.5,1,12.222684517504774,-3.728170598405459
39,20,19,1.5,2,2.523364678027235,-3.728170598405459
50,23,27,0.5,0,22.220725075131725,-3.451088106038565
50,23,27,0.5,1,14.176344887143443,-3.451088106038565
50,23,27,1.5,2,4.991229072934459,-3.451088106038565
88,39,49,0.5,0,24.18113742239325,-3.091358079345728
88,39,49,0.5,1,18.089004854033874,-3.091358079345728
88,39,49,1.5,2,10.791878084014343,-3.091358079345728
88,39,49,2.5,3,2.8694938219293817,-3.091358079345728
138,57,81,0.5,0,24.028955254711036,-3.2579972398594386
138,57,81,0.5,1,19.278283867992286,-3.2579972398594386
138,57,81,1.5,2,13.401704583324317,-3.2579972398594386
138,57,81,2.5,3,6.71360949055088,-3.2579972398594386
138,57,81,3.5,4,-0.38703652843105374,-3.2579972398594386
207,82,125,0.5,0,26.257440217917974,-2.996070566350209
207,82,125,0.5,1,22.4363037433086,-2.996070566350209
207,82,125,1.5,2,17.68392337221485,-2.996070566350209
207,82,125,2.5,3,12.18303073305492,-2.996070566350209
207,82,125,3.5,4,6.135099061912115,-2.996070566350209
