#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,8.12628327457756,-3.61608797266105
8,3,5,0.5,0,9.166701627229962,-3.5573022277268205
9,4,5,0.5,0,9.782778464872194,-3.5256910465119216
9,4,5,0.5,1,-1.8249631294423807,-3.5256910465119216
9,5,4,0.5,0,9.788128815970374,-3.5582984139427296
9,5,4,0.5,1,-1.8062684904718864,-3.5582984139427296
10,5,5,0.5,0,10.732124243640442,-3.419511839901596
10,5,5,0.5,1,-1.040960873699646,-3.419511839901596
11,5,6,0.5,0,11.574245608364208,-3.230990130770042
11,5,6,0.5,1,-0.28029330917729567,-3.230990130770042
11,6,5,0.5,0,11.580811890206647,-3.272652006453775
11,6,5,0.5,1,-0.26383170262782585,-3.272652006453775
12,6,6,0.5,0,12.247098614522713,-3.0651528576655647
12,6,6,0.5,1,0.3718868988244708,-3.0651528576655647
15,7,8,0.5,0,14.258556015753285,-3.7251445519533855
15,7,8,0.5,1,2.6016231849427243,-3.7251445519533855
15,8,7,0.5,0,14.255204988408181,-3.757632829702537
15,8,7,0.5,1,2.6086405047655887,-3.757632829702537
27,14,13,0.5,0,17.65838960633576,-3.0335910472198027
27,14,13,0.5,1,7.495357074597507,-3.0335910472198027
31,16,15,0.5,0,18.181919919988616,-2.384916452329815
31,16,15,0.5,1,8.51165472223471,-2.384916452329815
39,20,19,0.5,0,19.941515400840103,-3.127413598074124
39,20,19,0.5,1,11.061014607383072,-3.127413598074124
39,20,19,1.5,2,1.8780560044777985,-3.127413598074124
50,23,27,0.5,0,21.04874606432122,-2.8490180025821914
50,23,27,0.5,1,12.938096955434503,-2.8490180025821914
50,23,27,1.5,2,4.1235866099755185,-2.8490180025821914
88,39,49,0.5,0,23.351215960081504,-2.591002441811764
88,39,49,0.5,1,17.083027483519004,-2.591002441811764
88,39,49,1.5,2,9.844006182249473,-2.591002441811764
88,39,49,2.5,3,2.2143083825668555,-2.591002441811764
138,57,81,0.5,0,23.452995775055797,-2.880752902624831
138,57,81,0.5,1,18.461082933258922,-2.880752902624831
138,57,81,1.5,2,12.505341050934703,-2.880752902624831
138,57,81,2.5,3,5.906742570710094,-2.880752902624831
138,57,81,3.5,4,-0.9279527684927871,-2.880752902624831
207,82,125,0.5,0,25.823162049609664,-2.6672034655946817
207,82,125,0.5,1,21.795635194140914,-2.6672034655946817
207,82,125,1.5,2,16.927471131640914,-2.6672034655946817
207,82,125,2.5,3,11.411594361621383,-2.6672034655946817
207,82,125,3.5,4,5.454284638720992,-2.6672034655946817
