#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,7.8009196247611,-3.412276559780154
8,3,5,0.5,0,8.84117462245387,-3.3309597690864186
9,4,5,0.5,0,9.453541234142236,-3.283278725539324
9,4,5,0.5,1,-1.6894982308083328,-3.283278725539324
9,5,4,0.5,0,9.46040735292533,-3.3178962329267527
9,5,4,0.5,1,-1.671125077723481,-3.3178962329267527
10,5,5,0.5,0,10.38866949886615,-3.1603531673048373
10,5,5,0.5,1,-0.9116668620652391,-3.1603531673048373
11,5,6,0.5,0,11.241479537565837,-2.941813923474582
11,5,6,0.5,1,-0.13518653146492454,-2.941813923474582
11,6,5,0.5,0,11.249190149078046,-2.9856783907321898
11,6,5,0.5,1,-0.11997431777986378,-2.9856783907321898
12,6,6,0.5,0,11.8801904749415,-2.763266591480498
12,6,6,0.5,1,0.4883504938623844,-2.763266591480498
15,7,8,0.5,0,13.929475096008275,-3.406265654268468
15,7,8,0.5,1,2.6718647749633533,-3.406265654268468
15,8,7,0.5,0,13.92846962510481,-3.440751497074704
15,8,7,0.5,1,2.6798009544504993,-3.440751497074704
27,14,13,0.5,0,17.42259831662301,-2.681015226265582
27,14,13,0.5,1,7.5132278942597,-2.681015226265582
31,16,15,0.5,0,17.94061029068638,-1.996162272140964
31,16,15,0.5,1,8.56433618179966,-1.996162272140964
31,16,15,1.5,2,-0.5018479812938779,-1.996162272140964
39,20,19,0.5,0,17.937533947725058,-3.0064491832062643
39,20,19,0.5,1,9.216701123018026,-3.0064491832062643
39,20,19,1.5,2,0.17555770565962803,-3.0064491832062643
50,23,27,0.5,0,20.90059585119434,-2.455817515761442
50,23,27,0.5,1,12.927581019651427,-2.455817515761442
50,23,27,1.5,2,4.317774958860355,-2.455817515761442
88,39,49,0.5,0,23.263878169666327,-2.1900276500791023
88,39,49,0.5,1,17.083427730213202,-2.1900276500791023
88,39,49,1.5,2,9.988388362537421,-2.1900276500791023
88,39,49,2.5,3,2.5049460560188663,-2.1900276500791023
138,57,81,0.5,0,23.73990264810618,-2.5326450425434466
138,57,81,0.5,1,18.79593292154368,-2.5326450425434466
138,57,81,1.5,2,12.94302001871165,-2.5326450425434466
138,57,81,2.5,3,6.476177367344462,-2.5326450425434466
138,57,81,3.5,4,-0.24389537893239321,-2.5326450425434466
207,82,125,0.5,0,25.823667505070944,-2.304965838092748
207,82,125,0.5,1,21.83679006366492,-2.304965838092748
207,82,125,1.5,2,17.046079614445944,-2.304965838092748
207,82,125,2.5,3,11.633382776067037,-2.304965838092748
207,82,125,3.5,4,5.786279657170326,-2.304965838092748
