#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,10.74616271526304,-4.751777130074153
7,2,5,0.5,1,-0.9678699347308566,-4.751777130074153
8,3,5,0.5,0,11.91174630362137,-4.373225434783336
8,3,5,0.5,1,0.08152894217117534,-4.373225434783336
9,4,5,0.5,0,12.587550512109246,-4.00406911081383
9,4,5,0.5,1,0.8184102685789725,-4.00406911081383
9,5,4,0.5,0,12.573934340131053,-4.0510509953106375
9,5,4,0.5,1,0.8127210375187488,-4.0510509953106375
10,5,5,0.5,0,13.680959794009055,-3.597051242833359
10,5,5,0.5,1,2.0626145333889383,-3.597051242833359
11,5,6,0.5,0,14.376020079607258,-3.1603696353172133
11,5,6,0.5,1,2.9386764821951488,-3.1603696353172133
11,6,5,0.5,0,14.370295856461382,-3.2174445981728006
11,6,5,0.5,1,2.936370227799273,-3.2174445981728006
14,6,8,0.5,0,16.18286006628668,-3.0496989774761296
14,6,8,0.5,1,5.371607472292538,-3.0496989774761296
15,7,8,0.5,0,16.721993616388076,-3.132617247466463
15,7,8,0.5,1,6.123463800714248,-3.132617247466463
15,8,7,0.5,0,16.71086715102389,-3.17754550866108
15,8,7,0.5,1,6.114153131248514,-3.17754550866108
27,14,13,0.5,0,20.230324924392875,-1.65274062105199
27,14,13,0.5,1,11.576691806717065,-1.65274062105199
27,14,13,1.5,2,2.0107108954622106,-1.65274062105199
31,16,15,0.5,0,20.454213575285962,-0.5688314504537146
31,16,15,0.5,1,12.375028089446118,-0.5688314504537146
31,16,15,1.5,2,3.2135710276785403,-0.5688314504537146
39,20,19,0.5,0,21.795594211641344,-1.3029182254313767
39,20,19,0.5,1,14.481408115449938,-1.3029182254313767
39,20,19,1.5,2,6.014706607881578,-1.3029182254313767
50,23,27,0.5,0,23.01282140079485,-0.9658462763694224
50,23,27,0.5,1,16.474003041419905,-0.9658462763694224
50,23,27,1.5,2,8.746303761634692,-0.9658462763694224
50,23,27,2.5,3,0.3600279933547199,-0.9658462763694224
88,39,49,0.5,0,24.83839623306949,-0.3440353274589185
88,39,49,0.5,1,19.95320336197574,-0.3440353274589185
88,39,49,1.5,2,14.006204765784332,-0.3440353274589185
88,39,49,2.5,3,7.214811485755035,-0.3440353274589185
88,39,49,3.5,4,-0.1380836548928528,-0.3440353274589185
138,57,81,0.5,0,24.737715595876352,-0.6793482933744954
138,57,81,0.5,1,20.906966084157602,-0.6793482933744954
138,57,81,1.5,2,16.193770283376352,-0.6793482933744954
138,57,81,2.5,3,10.712134236013071,-0.6793482933744954
138,57,81,3.5,4,4.581263416921274,-0.6793482933744954
207,82,125,0.5,0,26.960535566219505,-0.3291521705819633
207,82,125,0.5,1,23.917871992000755,-0.3291521705819633
207,82,125,1.5,2,20.148951093563255,-0.3291521705819633
207,82,125,2.5,3,15.728357831844505,-0.3291521705819633
207,82,125,3.5,4,10.723482648739036,-0.3291521705819633
207,82,125,4.5,5,5.206846753963646,-0.3291521705819633
