#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,6.65662195012186,-2.0876184378651947
7,2,5,0.5,1,-1.648563725499173,-2.0876184378651947
8,3,5,0.5,0,7.618904213815931,-1.887977891244676
8,3,5,0.5,1,-1.0740970564782586,-1.887977891244676
9,4,5,0.5,0,8.434905213530769,-1.6629743297607806
9,4,5,0.5,1,-0.41541464883495394,-1.6629743297607806
9,5,4,0.5,0,8.439046755805755,-1.7072818872564728
9,5,4,0.5,1,-0.4111453142015691,-1.7072818872564728
10,5,5,0.5,0,9.072911698302406,-1.4586734826732926
10,5,5,0.5,1,0.17806573577799156,-1.4586734826732926
11,5,6,0.5,0,9.882192968434012,-1.117674666897997
11,5,6,0.5,1,0.9949458828627229,-1.117674666897997
11,6,5,0.5,0,9.900795785221092,-1.170487838909187
11,6,5,0.5,1,1.0066135800208968,-1.170487838909187
12,6,6,0.5,0,10.489565370945769,-0.7319138422454188
12,6,6,0.5,1,1.644585131077605,-0.7319138422454188
15,7,8,0.5,0,12.76724720033424,-1.226026616544356
15,7,8,0.5,1,3.6362543109299423,-1.226026616544356
15,8,7,0.5,0,12.772208906265632,-1.2741560247641155
15,8,7,0.5,1,3.6431996594394747,-1.2741560247641155
27,14,13,0.5,0,17.155182094996945,-0.2159203960803424
27,14,13,0.5,1,8.544578762477386,-0.2159203960803424
27,14,13,1.5,2,0.44708177608828237,-0.2159203960803424
31,16,15,0.5,0,17.165144097954567,0.8364528457187994
31,16,15,0.5,1,9.645300042778786,0.8364528457187994
31,16,15,1.5,2,1.6505433441703872,0.8364528457187994
39,20,19,0.5,0,19.168083376597906,0.0352637367504122
39,20,19,0.5,1,11.905182070445562,0.0352637367504122
39,20,19,1.5,2,4.10326022596314,0.0352637367504122
50,23,27,0.5,0,20.899605213709606,0.2356958383051761
50,23,27,0.5,1,13.868317066736893,0.2356958383051761
50,23,27,1.5,2,6.475284992762283,0.2356958383051761
88,39,49,0.5,0,23.60085686998559,0.6014783875384708
88,39,49,0.5,1,18.19753655748559,0.6014783875384708
88,39,49,1.5,2,12.11787804918481,0.6014783875384708
88,39,49,2.5,3,5.576149075796138,0.6014783875384708
138,57,81,0.5,0,22.605275451688613,-0.15614791037477
138,57,81,0.5,1,18.19817095950134,-0.15614791037477
138,57,81,1.5,2,13.133870422391965,-0.15614791037477
138,57,81,2.5,3,7.575162231473996,-0.15614791037477
138,57,81,3.5,4,1.6388409729290743,-0.15614791037477
207,82,125,0.5,0,26.30333347698752,0.1915005792394915
207,82,125,0.5,1,22.82994480511252,0.1915005792394915
207,82,125,1.5,2,18.73149509808127,0.1915005792394915
207,82,125,2.5,3,14.1309167899758,0.1915005792394915
207,82,125,3.5,4,9.10094852825705,0.1915005792394915
207,82,125,4.5,5,3.714660839048065,0.1915005792394915
