#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,7.835669194341321,-2.423782652723913
7,2,5,0.5,1,-1.450104321359973,-2.423782652723913
8,3,5,0.5,0,8.88174312450358,-2.222139351459962
8,3,5,0.5,1,-0.7464144911580419,-2.222139351459962
9,4,5,0.5,0,9.453027340413612,-2.0499856598263584
9,4,5,0.5,1,-0.275803950785118,-2.0499856598263584
9,5,4,0.5,0,9.458301642863972,-2.0958065003876847
9,5,4,0.5,1,-0.2670754399607276,-2.0958065003876847
10,5,5,0.5,0,10.39710284479203,-1.795125810446205
10,5,5,0.5,1,0.6564240575605851,-1.795125810446205
11,5,6,0.5,0,11.250584743659516,-1.4389286997621102
11,5,6,0.5,1,1.5552245599436958,-1.4389286997621102
11,6,5,0.5,0,11.261696104835906,-1.4943184666864069
11,6,5,0.5,1,1.5632345722431324,-1.4943184666864069
12,6,6,0.5,0,11.880171492862061,-1.0342526939246053
12,6,6,0.5,1,2.2635809929841457,-1.0342526939246053
15,7,8,0.5,0,14.00181994380506,-1.6429952685012914
15,7,8,0.5,1,4.376427029986701,-1.6429952685012914
15,8,7,0.5,0,14.00200104901026,-1.6902545109999636
15,8,7,0.5,1,4.379179241148947,-1.6902545109999636
27,14,13,0.5,0,18.10139341728069,-0.5877209804144776
27,14,13,0.5,1,9.481924728315846,-0.5877209804144776
27,14,13,1.5,2,0.8964345015702406,-0.5877209804144776
31,16,15,0.5,0,18.232628278641755,0.484282260383889
31,16,15,0.5,1,10.509598188309724,0.484282260383889
31,16,15,1.5,2,2.1251625346232004,0.484282260383889
39,20,19,0.5,0,18.25073434741813,-0.6245786603228112
39,20,19,0.5,1,11.001001376226725,-0.6245786603228112
39,20,19,1.5,2,2.9566631499083655,-0.6245786603228112
50,23,27,0.5,0,21.560565142758776,-0.0852799507085073
50,23,27,0.5,1,14.692500262387739,-0.0852799507085073
50,23,27,1.5,2,7.17042460931151,-0.0852799507085073
88,39,49,0.5,0,23.843472549707485,0.3338608722296783
88,39,49,0.5,1,18.610318252832485,0.3338608722296783
88,39,49,1.5,2,12.567280838281704,0.3338608722296783
88,39,49,2.5,3,5.9293451998539695,0.3338608722296783
138,57,81,0.5,0,24.422935950713963,-0.3112403064864466
138,57,81,0.5,1,20.20702408547959,-0.3112403064864466
138,57,81,1.5,2,15.263695228057486,-0.3112403064864466
138,57,81,2.5,3,9.728653418975682,-0.3112403064864466
138,57,81,3.5,4,3.7192578196104478,-0.3112403064864466
207,82,125,0.5,0,26.501525802251535,0.0483466396277094
207,82,125,0.5,1,23.16580192529841,0.0483466396277094
207,82,125,1.5,2,19.176483077641933,0.0483466396277094
207,82,125,2.5,3,14.634406966802544,0.0483466396277094
207,82,125,3.5,4,9.60848228418513,0.0483466396277094
207,82,125,4.5,5,4.171840591070122,0.0483466396277094
