#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,5.686754967621027,0.0
7,4,3,0.5,0,5.730530224185827,0.0
8,3,5,0.5,0,6.821190066733912,0.0
9,4,5,0.5,0,7.9651799356534525,0.0
9,5,4,0.5,0,7.937225282957748,0.0
10,5,5,0.5,0,9.029553624595266,0.0
11,5,6,0.5,0,10.000514340557686,0.0
11,5,6,0.5,1,-1.2158002136567916,0.0
11,6,5,0.5,0,9.974851045221186,0.0
11,6,5,0.5,1,-1.215250339895391,0.0
12,6,6,0.5,0,10.931292224975195,0.0
12,6,6,0.5,1,-0.5627253760379887,0.0
15,7,8,0.5,0,12.8024673650648,0.0
15,7,8,0.5,1,1.4345302770521045,0.0
15,8,7,0.5,0,12.77287629838905,0.0
15,8,7,0.5,1,1.4249167799564333,0.0
27,14,13,0.5,0,17.51512209893687,0.0
27,14,13,0.5,1,7.036369962706431,0.0
31,16,15,0.5,0,18.480531961723273,0.0
31,16,15,0.5,1,8.079935343070929,0.0
39,20,19,0.5,0,19.769831889933414,0.0
39,20,19,0.5,1,10.360598796671695,0.0
39,20,19,1.5,2,1.1421568334758945,0.0
50,23,27,0.5,0,21.312741901284824,0.0
50,23,27,0.5,1,12.83188405216373,0.0
50,23,27,1.5,2,3.9103790777984955,0.0
88,39,49,0.5,0,23.98954929818717,0.0
88,39,49,0.5,1,17.34831394662467,0.0
88,39,49,1.5,2,9.936349530120765,0.0
88,39,49,2.5,3,2.2242580841979134,0.0
138,57,81,0.5,0,26.644495579455224,0.0
138,57,81,0.5,1,21.529474827501872,0.0
138,57,81,1.5,2,15.534639927599528,0.0
138,57,81,2.5,3,8.937838169787028,0.0
138,57,81,3.5,4,2.0692745177482266,0.0
207,82,125,0.5,0,26.482556963982915,0.0
207,82,125,0.5,1,22.36543049913871,0.0
207,82,125,1.5,2,17.473249102654336,0.0
207,82,125,2.5,3,11.968251849236594,0.0
207,82,125,3.5,4,6.021730090203391,0.0
