#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
11,6,5,0.5,0,11.045615744223383,-5.107940504452463
11,6,5,0.5,1,-0.3350309614040583,-5.107940504452463
15,8,7,0.5,0,13.32220428511522,-5.793150241025483
15,8,7,0.5,1,2.3178192906083837,-5.793150241025483
27,14,13,0.5,0,17.034254711147355,-6.470165623297419
27,14,13,0.5,1,7.52818934249504,-6.470165623297419
50,23,27,0.5,0,20.200880321433374,-6.984157806342612
50,23,27,0.5,1,12.770788463523218,-6.984157806342612
50,23,27,1.5,2,4.525842937400171,-6.984157806342612
88,39,49,0.5,0,22.469246539578194,-7.239718479367678
88,39,49,0.5,1,16.757942828640694,-7.239718479367678
88,39,49,1.5,2,10.140076312527412,-7.239718479367678
88,39,49,2.5,3,2.9833971590850297,-7.239718479367678
138,57,81,0.5,0,23.637535886301066,-7.325310793951154
138,57,81,0.5,1,19.289391355051066,-7.325310793951154
138,57,81,1.5,2,14.010346250070597,-7.325310793951154
138,57,81,2.5,3,8.015473203195597,-7.325310793951154
138,57,81,3.5,4,1.5658338828218348,-7.325310793951154
207,82,125,0.5,0,24.67822903521892,-7.462094523406531
207,82,125,0.5,1,21.131445587953294,-7.462094523406531
207,82,125,1.5,2,16.84021633990642,-7.462094523406531
207,82,125,2.5,3,11.917998017152513,-7.462094523406531
207,82,125,3.5,4,6.491198242982364,-7.462094523406531
207,82,125,4.5,5,0.7200300110184799,-7.462094523406531
