#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,6.878758780324727,-3.988021082497283
8,3,5,0.5,0,8.070331111810361,-4.346739106394366
9,4,5,0.5,0,9.033390605607075,-4.639033437359752
9,4,5,0.5,1,-1.9604490457391393,-4.639033437359752
9,5,4,0.5,0,9.013472722627768,-4.640820016498523
9,5,4,0.5,1,-1.9543006850699172,-4.640820016498523
10,5,5,0.5,0,10.016267851346072,-4.8941736803128935
10,5,5,0.5,1,-1.173438474184934,-4.8941736803128935
11,5,6,0.5,0,11.046390703730651,-5.0390971283068255
11,5,6,0.5,1,-0.3613765921067511,-5.0390971283068255
11,6,5,0.5,0,11.013730437293134,-5.043390408412381
11,6,5,0.5,1,-0.3721862726067684,-5.043390408412381
12,6,6,0.5,0,11.784473343769179,-5.201271951040963
12,6,6,0.5,1,0.30140964595422304,-5.201271951040963
15,7,8,0.5,0,13.338028308055542,-5.740913005994109
15,7,8,0.5,1,2.3168853484608007,-5.740913005994109
15,8,7,0.5,0,13.315971721566044,-5.742100340112454
15,8,7,0.5,1,2.3085273398521764,-5.742100340112454
27,14,13,0.5,0,17.03466100290757,-6.439259223824205
27,14,13,0.5,1,7.52667302683335,-6.439259223824205
31,16,15,0.5,0,17.93194197723497,-6.481417237123552
31,16,15,0.5,1,8.529438009949814,-6.481417237123552
31,16,15,1.5,2,-0.5718377321041714,-6.481417237123552
