#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
11,6,5,0.5,0,12.14353685121587,-6.523011100809407
11,6,5,0.5,1,-0.013726904582469501,-6.523011100809407
15,8,7,0.5,0,14.234159237541334,-6.842017443180737
15,8,7,0.5,1,2.813089138664381,-6.842017443180737
27,14,13,0.5,0,17.736221215906852,-7.082202842421758
27,14,13,0.5,1,8.203514001551383,-7.082202842421758
50,23,27,0.5,0,20.638203531234808,-7.314160627417188
50,23,27,0.5,1,13.328061014144907,-7.314160627417188
50,23,27,1.5,2,5.005005746811037,-7.314160627417188
88,39,49,0.5,0,22.752029351856436,-7.444669947743941
88,39,49,0.5,1,17.16532891240331,-7.444669947743941
88,39,49,1.5,2,10.592094354297842,-7.444669947743941
88,39,49,2.5,3,3.372266702320303,-7.444669947743941
138,57,81,0.5,0,23.84277052425159,-7.616043878360433
138,57,81,0.5,1,19.620449967610966,-7.616043878360433
138,57,81,1.5,2,14.425419755208623,-7.616043878360433
138,57,81,2.5,3,8.452290482747685,-7.616043878360433
138,57,81,3.5,4,1.9446744396568647,-7.616043878360433
207,82,125,0.5,0,24.80945433288707,-7.565820093644852
207,82,125,0.5,1,21.352758776246446,-7.565820093644852
207,82,125,1.5,2,17.136816393433946,-7.565820093644852
207,82,125,2.5,3,12.261183153687853,-7.565820093644852
207,82,125,3.5,4,6.8428291192640245,-7.565820093644852
207,82,125,4.5,5,1.0306581369031846,-7.565820093644852
