#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
132,SLy4,J-33L-20K0ms_m0.6,-33.00000007177934,-20.00000034104562,-5.882265980972079e-07,0.6000000000340384,0.9548061820240102
1564,SLy4,J-33L-50K100ms_m0.65,-32.99999997858529,-49.99999992673929,100.00000001996816,0.6500000000426952,2.5872478773664174
1573,SLy4,J-33L-50K200ms_m0.65,-32.99999999773404,-49.99999999704187,199.99999997612773,0.6500000000426952,2.2741307698835227
195,SLy4,J-33L0K300ms_m0.6,-32.99999998955067,2.4261112230306026e-08,299.9999999500398,0.6000000000175344,0.7452681490074202
1654,SLy4,J-33L-30K400ms_m0.65,-33.00000001261196,-30.00000004499026,399.9999999819957,0.6500000000426952,2.1692609925079376
1593,SLy4,J-33L-50K500ms_m0.75,-33.00000003650324,-50.0000001141828,500.0000000340483,0.7499999999621236,1.9959145648440464
232,SLy4,J-33L10K600ms_m0.65,-33.000000017790526,9.99999993111689,599.99999994421,0.6500000000330105,0.8355513789688689
348,SLy4,J-32L-20K0ms_m0.6,-31.999999832203716,-19.99999937891289,3.92156934481136e-07,0.5999999999680222,0.8246934166842944
1852,SLy4,J-32L-50K100ms_m0.65,-31.999999970432413,-49.9999998937094,100.00000005419044,0.6500000000426952,1.9044896284634816
1862,SLy4,J-32L-50K200ms_m0.7,-31.99999999763364,-49.99999999429795,199.9999999898879,0.7000000000201563,1.7654678128330936
385,SLy4,J-32L-10K300ms_m0.65,-31.99999997475805,-9.999999913337549,300.0000000249342,0.6500000000136412,0.6123431693590401
1872,SLy4,J-32L-50K400ms_m0.75,-32.000000021579986,-50.00000007274198,399.9999999883278,0.7499999999621236,1.5376317279752374
1917,SLy4,J-32L-40K500ms_m0.75,-32.00000003381131,-40.00000010439143,500.0000000410572,0.7499999999621236,1.523712595355991
449,SLy4,J-32L10K600ms_m0.7,-32.00000000439511,9.999999990564078,600.000000032289,0.6999999999864606,0.685371737854577
538,SLy4,J-31L-30K0ms_m0.65,-30.99999996344559,-29.999999883819328,-1.6104166888908367e-08,0.6499999999749027,0.7909706082823987
2141,SLy4,J-31L-50K100ms_m0.7,-30.999999990462957,-49.99999996881894,100.00000000344806,0.7000000000201563,1.4325368729893817
2151,SLy4,J-31L-50K200ms_m0.75,-30.99999999969908,-49.99999999915306,200.00000000134293,0.7499999999621236,1.290703919410018
