#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
52,SLy4,J-33L-50K0ms_m0.65,-32.99999997138843,-49.9999999161962,-5.571052952291212e-08,0.6500000000330105,1.2754910894742304
78,SLy4,J-33L-40K0ms_m0.6,-32.999999975469336,-39.99999993277368,-7.079444230839728e-08,0.5999999999845264,1.0578903627619776
105,SLy4,J-33L-30K0ms_m0.6,-32.99999991578426,-29.999999695428077,1.6257612855952178e-07,0.5999999999845264,1.0049721516345982
142,SLy4,J-33L-20K300ms_m0.65,-33.00000000917011,-20.00000004915637,299.99999989616254,0.6499999999942719,0.9397271939750932
168,SLy4,J-33L-10K300ms_m0.6,-32.9999999840898,-9.999999952500502,299.99999997725325,0.6000000000175344,0.7754054283911006
195,SLy4,J-33L0K300ms_m0.6,-32.99999998955067,2.4261112230306026e-08,299.9999999500398,0.6000000000175344,0.7452681490074202
232,SLy4,J-33L10K600ms_m0.65,-33.000000017790526,9.99999993111689,599.99999994421,0.6500000000330105,0.8355513789688689
260,SLy4,J-33L20K600ms_m0.7,-32.99999999761212,20.0000000167355,600.0000000575577,0.6999999999639966,1.053730854462778
268,SLy4,J-32L-50K0ms_m0.65,-31.999999995808565,-50.00000001345836,-1.5178000012383566e-07,0.6500000000330105,1.0577753843836175
295,SLy4,J-32L-40K0ms_m0.65,-31.9999999669906,-39.99999989787534,-3.1642699127587555e-08,0.6499999999942719,0.9702797712520292
322,SLy4,J-32L-30K0ms_m0.65,-32.00000000587741,-30.000000055670625,-1.976773944534216e-07,0.6500000000136412,0.8541905745881757
359,SLy4,J-32L-20K300ms_m0.7,-31.99999999918643,-20.00000000676789,299.99999995012416,0.7000000000313881,0.7437333856888692
385,SLy4,J-32L-10K300ms_m0.65,-31.99999997475805,-9.999999913337549,300.0000000249342,0.6500000000136412,0.6123431693590401
412,SLy4,J-32L0K300ms_m0.65,-31.99999997851305,7.19532522452937e-08,300.0000000147796,0.6499999999749027,0.7713204718661042
449,SLy4,J-32L10K600ms_m0.7,-32.00000000439511,9.999999990564078,600.000000032289,0.6999999999864606,0.685371737854577
477,SLy4,J-32L20K600ms_m0.75,-32.00000000405359,19.99999999000013,600.0000000252522,0.7499999999492298,0.8714047412941642
485,SLy4,J-31L-50K0ms_m0.7,-30.999999981560197,-49.99999994974627,-5.517165391211166e-08,0.6999999999639966,0.8954010981192851
512,SLy4,J-31L-40K0ms_m0.7,-30.999999986168177,-39.99999996872043,-7.38558583179838e-08,0.6999999999415328,0.8523853746656982
550,SLy4,J-31L-30K300ms_m0.8,-30.99999999956332,-29.99999999731932,300.00000001078564,0.7999999999970194,0.7149456441585924
576,SLy4,J-31L-20K300ms_m0.75,-30.99999998991497,-19.999999967967767,299.9999999967728,0.7500000000523801,0.5825354920812301
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.5491227730682078
640,SLy4,J-31L0K600ms_m0.8,-31.00000001624978,-4.760446969953591e-08,600.0000000368043,0.7999999999970193,0.7829043084462541
666,SLy4,J-31L10K600ms_m0.75,-31.0000000329392,9.999999872859291,599.9999998962203,0.75000000005238,0.6462377946794938
692,SLy4,J-31L20K600ms_m0.7,-31.00000000085018,20.000000004620205,600.0000000478275,0.6999999999639966,0.7096532884810697
714,SLy4,J-30L-50K300ms_m0.9,-30.00000000738899,-50.000000009710405,300.0000000863104,0.9000000000065753,0.8243386393661517
740,SLy4,J-30L-40K300ms_m0.85,-29.99999998434906,-39.99999992313951,300.00000014781574,0.849999999998599,0.7314133751188137
766,SLy4,J-30L-30K300ms_m0.8,-30.000000001182425,-30.00000000337721,300.00000000592024,0.7999999999970194,0.6225668623028582
793,SLy4,J-30L-20K300ms_m0.8,-30.000000011948245,-20.000000053140557,299.999999925657,0.7999999999970194,0.5591252175443653
820,SLy4,J-30L-10K300ms_m0.8,-29.9999999898228,-9.999999971020316,299.99999997886914,0.8000000000468982,0.6610905433550698
857,SLy4,J-30L0K600ms_m0.85,-30.000000014407853,-4.5992290864660397e-08,600.0000000088753,0.849999999998599,0.847768452208861
883,SLy4,J-30L10K600ms_m0.8,-30.000000013557788,9.999999962187148,600.0000000438133,0.7999999999970193,0.7555982698752133
910,SLy4,J-30L20K600ms_m0.8,-29.999999984483928,20.00000007904933,600.0000001665093,0.7999999999295361,0.7851170729820033
2730,SLy4,J-29L-50K200ms_m0.9,-29.000000002237595,-50.00000000735719,200.00000000150212,0.9000000000065753,0.7824916549326086
957,SLy4,J-29L-40K300ms_m0.9,-29.000000022380327,-40.00000008833561,299.99999991648593,0.9000000000065753,0.7481003929236657
983,SLy4,J-29L-30K300ms_m0.85,-29.000000009112327,-30.000000040852427,299.9999999389036,0.849999999998599,0.7186547850517069
2856,SLy4,J-29L-20K500ms_m0.9,-29.000000031953235,-20.000000109759057,499.999999975404,0.9000000000065753,0.7288325999501128
2891,SLy4,J-29L-10K500ms_m0.85,-29.00000000891334,-10.00000002318816,500.0000000369091,0.849999999998599,0.7025123227718175
1074,SLy4,J-29L0K600ms_m0.9,-29.00000003475576,-1.2277173766506166e-07,599.9999999543787,0.9000000000065753,0.7457257117489076
1101,SLy4,J-29L10K600ms_m0.9,-29.00000000751568,9.99999998492168,600.000000058737,0.9000000000010053,0.9473732195839054
