#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
195,SLy4,J-33L0K300ms_m0.6,-32.99999998955067,2.4261112230306026e-08,299.9999999500398,0.6000000000175344,0.7452681490074202
169,SLy4,J-33L-10K300ms_m0.65,-32.9999999803521,-9.999999933573465,300.00000001629985,0.6499999999555333,0.8191395061798338
233,SLy4,J-33L10K600ms_m0.7,-33.000000011012695,9.999999965210463,600.0000000134195,0.6999999999460257,0.8897890701825729
207,SLy4,J-33L0K600ms_m0.75,-33.00000000873752,-2.7302434091325267e-08,600.0000000100158,0.7499999999775961,1.0959661855596496
208,SLy4,J-33L0K600ms_m0.8,-32.99999999870311,2.30246257615363e-08,600.0000001114454,0.7999999999530085,1.3559870907879323
209,SLy4,J-33L0K600ms_m0.85,-33.00000000586697,-1.2657864090215298e-08,600.0000000407645,0.8499999999820376,1.6649554565932585
75,SLy4,J-33L-50K600ms_m0.9,-32.99999994222864,-49.9999997472471,600.0000003455837,0.9000000000015623,1.917805507095856
76,SLy4,J-33L-50K600ms_m0.95,-32.999999842703176,-49.99999924951084,600.0000013416001,0.9500000000089144,2.1388576497592444
77,SLy4,J-33L-50K600ms_m1.0,-32.999999858913526,-49.99999933046468,600.000001180182,1.0,2.3877225317014963
438,SLy4,J-32L10K300ms_m0.6,-31.999999986005776,10.000000038317012,299.9999999655781,0.6000000000010303,0.726765439802712
385,SLy4,J-32L-10K300ms_m0.65,-31.99999997475805,-9.999999913337549,300.0000000249342,0.6500000000136412,0.6123431693590401
449,SLy4,J-32L10K600ms_m0.7,-32.00000000439511,9.999999990564078,600.000000032289,0.6999999999864606,0.685371737854577
450,SLy4,J-32L10K600ms_m0.75,-32.00000000604554,9.999999982489015,600.0000000170248,0.7499999999775961,0.7605062734910684
397,SLy4,J-32L-10K600ms_m0.8,-32.000000018941755,-10.000000057395836,600.0000000297952,0.7999999999970193,0.9167631738600897
398,SLy4,J-32L-10K600ms_m0.85,-32.00000000756932,-10.000000000396966,600.0000001444772,0.849999999998599,1.1742355023716022
399,SLy4,J-32L-10K600ms_m0.9,-32.000000021180455,-10.00000006833092,600.0000000092173,0.9000000000065755,1.391031889759739
292,SLy4,J-32L-50K600ms_m0.95,-31.9999999675934,-49.9999997839775,600.0000006317052,0.9500000000068456,1.6554003000082786
293,SLy4,J-32L-50K600ms_m1.0,-31.99999998384638,-49.99999986514456,600.000000469861,1.0,1.8626797477883792
564,SLy4,J-31L-20K0ms_m0.6,-30.999999923475656,-19.99999974528805,1.8445291516400172e-08,0.6000000000010304,0.95427473750906
601,SLy4,J-31L-10K300ms_m0.65,-30.999999999178183,-10.000000010599592,299.9999999288646,0.6500000000136411,0.7830411332822182
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.5491227730682078
576,SLy4,J-31L-20K300ms_m0.75,-30.99999998991497,-19.999999967967767,299.9999999967728,0.7500000000523801,0.5825354920812301
613,SLy4,J-31L-10K600ms_m0.8,-31.000000010788877,-10.000000024365832,600.0000000640179,0.7999999999970194,0.6817690741984305
614,SLy4,J-31L-10K600ms_m0.85,-30.999999999331173,-9.999999966940493,600.0000001795524,0.8499999999952866,0.7572120888452475
588,SLy4,J-31L-20K600ms_m0.9,-31.00000002232838,-20.00000005329781,600.000000118474,0.9000000000010053,0.9582938395597548
589,SLy4,J-31L-20K600ms_m0.95,-31.00000002891585,-20.00000008612633,600.000000053361,0.9500000000089144,1.1760893512754282
509,SLy4,J-31L-50K600ms_m1.0,-31.00000010877926,-50.0000003998241,599.9999997595405,1.0,1.454206752627435
807,SLy4,J-30L-10K0ms_m0.6,-29.99999982391762,-9.999999348885352,4.078005844121435e-07,0.6000000000175344,1.07745931434199
781,SLy4,J-30L-20K0ms_m0.65,-29.999999993326668,-20.000000004319872,-1.3938705478722113e-07,0.6499999999749027,0.8892418301650542
755,SLy4,J-30L-30K0ms_m0.7,-29.99999995431492,-29.999999845695697,2.932803511157545e-08,0.7000000000313881,0.84011761615157
