#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
348,SLy4,J-32L-20K0ms_m0.6,-31.999999832203716,-19.99999937891289,3.92156934481136e-07,0.5999999999680222,0.8246934166842944
2859,SLy4,J-29L-10K100ms_m0.6,-28.999999985826665,-9.999999977858693,99.99999986624144,0.6000000000257864,1.4273885979060144
2904,SLy4,J-29L0K200ms_m0.6,-28.999999983168323,3.236721113353269e-08,199.99999987242944,0.6000000000257864,1.3849170712119787
438,SLy4,J-32L10K300ms_m0.6,-31.999999986005776,10.000000038317012,299.9999999655781,0.6000000000010303,0.726765439802712
2985,SLy4,J-29L20K400ms_m0.6,-28.99999999274121,20.000000010944063,399.9999999313477,0.6000000000257864,1.4487837080896482
2706,SLy4,J-30L20K500ms_m0.6,-30.00000001296948,19.999999942978093,499.9999999240183,0.6000000000257864,1.4119377303398772
474,SLy4,J-32L20K600ms_m0.6,-32.00000000976283,19.999999960833776,599.9999999638188,0.6000000000340384,1.0665160335882722
538,SLy4,J-31L-30K0ms_m0.65,-30.99999996344559,-29.999999883819328,-1.6104166888908367e-08,0.6499999999749027,0.7909706082823987
2824,SLy4,J-29L-20K100ms_m0.65,-28.99999998003983,-19.999999952751978,99.99999989838388,0.6500000000426952,1.3370017110883528
2545,SLy4,J-30L-20K200ms_m0.65,-29.999999994963105,-19.999999994192592,199.99999994410467,0.6500000000426952,1.314494594603075
385,SLy4,J-32L-10K300ms_m0.65,-31.99999997475805,-9.999999913337549,300.0000000249342,0.6500000000136412,0.6123431693590401
2590,SLy4,J-30L-10K400ms_m0.65,-29.99999999907501,-9.999999992376956,400.0000000302366,0.6500000000426952,1.098875563258549
2635,SLy4,J-30L0K500ms_m0.65,-29.999999996416747,1.7848563516054128e-08,500.0000000364244,0.6500000000426952,1.1441973092729445
232,SLy4,J-33L10K600ms_m0.65,-33.000000017790526,9.99999993111689,599.99999994421,0.6500000000330105,0.8355513789688689
539,SLy4,J-31L-30K0ms_m0.7,-30.999999978445203,-29.999999958612875,-1.6466931640479745e-07,0.6999999999864606,0.8124435905924626
2789,SLy4,J-29L-30K100ms_m0.7,-29.00000000276233,-30.000000037652683,99.9999998406327,0.7000000000201563,1.15879647398657
2834,SLy4,J-29L-20K200ms_m0.7,-28.999999982420604,-19.999999939009967,200.0000000236545,0.7000000000201563,1.1245785539777096
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.5491227730682078
