#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,2.907916193347347,-0.7403570551167995
8,3,5,0.5,0,3.338009378147774,-0.49890415304922
9,4,5,0.5,0,3.4299843784758224,-0.3347901510008384
9,5,4,0.5,0,3.463626587975746,-0.3678024184925492
10,5,5,0.5,0,3.999917924978476,-0.1042594859421006
11,5,6,0.5,0,4.46070681116106,0.1649815691076073
11,6,5,0.5,0,4.490821254019579,0.1284939114831909
12,6,6,0.5,0,4.746026566603021,0.4034899548335451
15,7,8,0.5,0,6.130150170564519,0.3013230347670044
15,7,8,0.5,1,-0.5148765132428679,0.3013230347670044
15,8,7,0.5,0,6.151474301430895,0.2678449292201437
15,8,7,0.5,1,-0.49704759874610716,0.2678449292201437
27,14,13,0.5,0,8.123332736719448,1.5109826391726724
27,14,13,0.5,1,2.166841266382562,1.5109826391726724
31,16,15,0.5,0,8.37898567744179,1.8053123353942269
31,16,15,0.5,1,2.970853124341204,1.8053123353942269
39,20,19,0.5,0,7.075587348321108,1.2226730459363502
39,20,19,0.5,1,1.9974585336237851,1.2226730459363502
50,23,27,0.5,0,10.331769709447315,2.421789693449078
50,23,27,0.5,1,5.420938258031356,2.421789693449078
50,23,27,1.5,2,0.03773808942173673,2.421789693449078
88,39,49,0.5,0,11.844970602433818,3.10298518112694
88,39,49,0.5,1,8.024948019426006,3.10298518112694
88,39,49,1.5,2,3.4660929626633106,3.10298518112694
138,57,81,0.5,0,10.726443096461935,3.2966048742121465
138,57,81,0.5,1,7.517260357204123,3.2966048742121465
138,57,81,1.5,2,3.6873233760029507,3.2966048742121465
138,57,81,2.5,3,-0.5977594410749134,3.2966048742121465
207,82,125,0.5,0,13.693756903911208,3.7189722729034553
207,82,125,0.5,1,11.121186103129958,3.7189722729034553
207,82,125,1.5,2,7.966935004497145,3.7189722729034553
207,82,125,2.5,3,4.332157935405348,3.7189722729034553
207,82,125,3.5,4,0.3489201920276628,3.7189722729034553
