#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,3.1007294327964487,-1.1459277770508187
8,3,5,0.5,0,3.62020030821904,-0.952127322829031
9,4,5,0.5,0,3.8008803969697738,-0.8217600307942403
9,5,4,0.5,0,3.83087106250116,-0.8545510750740863
10,5,5,0.5,0,4.427409625774644,-0.6165384860731482
11,5,6,0.5,0,4.950914260015111,-0.3600629091526279
11,6,5,0.5,0,4.977823774760779,-0.398165847983976
12,6,6,0.5,0,5.2958813769754585,-0.1336137438329148
15,7,8,0.5,0,6.8324694861708934,-0.3568468258600727
15,7,8,0.5,1,-0.42567823035130914,-0.3568468258600727
15,8,7,0.5,0,6.850216642992564,-0.3911171021575379
15,8,7,0.5,1,-0.4092767079901023,-0.3911171021575379
27,14,13,0.5,0,9.161361892413396,0.7579591772298482
27,14,13,0.5,1,2.507822234820651,0.7579591772298482
31,16,15,0.5,0,9.444610345726971,1.1781983218001688
31,16,15,0.5,1,3.352657068139081,1.1781983218001688
39,20,19,0.5,0,8.467869137596551,0.4522804937627676
39,20,19,0.5,1,2.7001269806141295,0.4522804937627676
50,23,27,0.5,0,11.703956041546519,1.523626378629814
50,23,27,0.5,1,6.130938921185248,1.523626378629814
50,23,27,1.5,2,0.23944846174305212,1.523626378629814
88,39,49,0.5,0,13.458764605955253,2.1155148754588264
88,39,49,0.5,1,9.07239680810369,2.1155148754588264
88,39,49,1.5,2,4.010068469480643,2.1155148754588264
138,57,81,0.5,0,12.520955900176887,2.110961039683948
138,57,81,0.5,1,8.845311979278222,2.110961039683948
138,57,81,1.5,2,4.55484948538151,2.110961039683948
138,57,81,2.5,3,-0.14404310800205167,2.110961039683948
207,82,125,0.5,0,15.565325589473105,2.499761540730264
207,82,125,0.5,1,12.602701993281698,2.499761540730264
207,82,125,1.5,2,9.049418301875448,2.499761540730264
207,82,125,2.5,3,5.033255429560995,2.499761540730264
207,82,125,3.5,4,0.707082124049748,2.499761540730264
