#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,2.527590424764867,-0.6136488559679489
8,3,5,0.5,0,2.9169173130898898,-0.3775142944291962
9,4,5,0.5,0,2.9836891401549366,-0.2145936453163219
9,5,4,0.5,0,3.0174734472003735,-0.2460804589740739
10,5,5,0.5,0,3.520564688625271,0.0063019812786944
11,5,6,0.5,0,3.958312965272839,0.2645992027544688
11,6,5,0.5,0,3.9879631117181873,0.2299999452293937
12,6,6,0.5,0,4.2234802877639765,0.4942325769330962
15,7,8,0.5,0,5.5158803620444985,0.4114061157362467
15,7,8,0.5,1,-0.8040730795753888,0.4114061157362467
15,8,7,0.5,0,5.537308674737574,0.3797014237761527
15,8,7,0.5,1,-0.7865023794921626,0.3797014237761527
27,14,13,0.5,0,7.3694892096919205,1.5772276416392028
27,14,13,0.5,1,1.6995387244624567,1.5772276416392028
31,16,15,0.5,0,7.624624292418503,1.8404719570357584
31,16,15,0.5,1,2.4651031895131723,1.8404719570357584
39,20,19,0.5,0,6.275535663421181,1.3182625797773897
39,20,19,0.5,1,1.4411354864192276,1.3182625797773897
50,23,27,0.5,0,9.423753820217087,2.4729553507920112
50,23,27,0.5,1,4.763601384914352,2.4729553507920112
50,23,27,1.5,2,-0.3607623951073151,2.4729553507920112
88,39,49,0.5,0,10.828750345001822,3.147787779752852
88,39,49,0.5,1,7.213397714386588,3.147787779752852
88,39,49,1.5,2,2.852258416901236,3.147787779752852
138,57,81,0.5,0,9.623272323550964,3.3934118387834467
138,57,81,0.5,1,6.593990707340026,3.3934118387834467
138,57,81,1.5,2,2.9373554229161982,3.3934118387834467
138,57,81,2.5,3,-1.1727891922571416,3.3934118387834467
207,82,125,0.5,0,12.547037703833212,3.806374941158845
207,82,125,0.5,1,10.121164901098837,3.806374941158845
207,82,125,1.5,2,7.113226516089071,3.806374941158845
207,82,125,2.5,3,3.6241384576173914,3.806374941158845
