#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,3.227332138687885,-0.8413998126161419
8,3,5,0.5,0,3.67209718632553,-0.5927291503947361
9,4,5,0.5,0,3.7664118290028554,-0.427710753258812
9,5,4,0.5,0,3.8012485043719266,-0.4619794718688217
10,5,5,0.5,0,4.359653401535496,-0.188776201131847
11,5,6,0.5,0,4.8320728364160175,0.0857676528356963
11,6,5,0.5,0,4.863965068916386,0.0480367301657702
12,6,6,0.5,0,5.131630489646284,0.3292494643884174
12,6,6,0.5,1,-1.5379568244825919,0.3292494643884174
15,7,8,0.5,0,6.586680534930736,0.2132951921458952
15,7,8,0.5,1,-0.33254229679532443,0.2132951921458952
15,8,7,0.5,0,6.609060623202282,0.1786415544663366
15,8,7,0.5,1,-0.3135839919710435,0.1786415544663366
27,14,13,0.5,0,8.624413242321651,1.456820389825415
27,14,13,0.5,1,2.4369342231566122,1.456820389825415
31,16,15,0.5,0,8.884463161390443,1.7541694398211654
31,16,15,0.5,1,3.2676304282361457,1.7541694398211654
39,20,19,0.5,0,7.5275290220162105,1.1216558633435163
39,20,19,0.5,1,2.250120422162695,1.1216558633435163
50,23,27,0.5,0,10.919331265444782,2.382022049714756
50,23,27,0.5,1,5.811615658755329,2.382022049714756
50,23,27,1.5,2,0.23987884616371957,2.382022049714756
88,39,49,0.5,0,12.49234407886297,3.0703892146167693
88,39,49,0.5,1,8.515491661870783,3.0703892146167693
88,39,49,1.5,2,3.795631584966486,3.0703892146167693
138,57,81,0.5,0,11.39707533861474,3.26264761374588
138,57,81,0.5,1,8.05448500658349,3.26264761374588
138,57,81,1.5,2,4.082603140128413,3.26264761374588
138,57,81,2.5,3,-0.34074624036475143,3.26264761374588
207,82,125,0.5,0,14.405128028724448,3.694800776908277
207,82,125,0.5,1,11.723853614661948,3.694800776908277
207,82,125,1.5,2,8.448752906654136,3.694800776908277
207,82,125,2.5,3,4.690455940101401,3.694800776908277
207,82,125,3.5,4,0.5880184439160985,3.694800776908277
