#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
7,2,5,0.5,0,3.155550607369399,-0.9477351803431664
8,3,5,0.5,0,3.643318915565388,-0.7404356879306357
9,4,5,0.5,0,3.8036934786571734,-0.598877471547457
9,5,4,0.5,0,3.834237259615705,-0.6305351171936247
10,5,5,0.5,0,4.39639826509341,-0.3958195597935612
11,5,6,0.5,0,4.8923216807909,-0.1472798498826302
11,6,5,0.5,0,4.919632723316326,-0.1829238840823839
12,6,6,0.5,0,5.213055787256181,0.072773049712234
12,6,6,0.5,1,-1.5391710124703053,0.072773049712234
15,7,8,0.5,0,6.6528952563516555,-0.0869497258597258
15,7,8,0.5,1,-0.3466875111349026,-0.0869497258597258
15,8,7,0.5,0,6.671573883757702,-0.1191541831114681
15,8,7,0.5,1,-0.329719775452503,-0.1191541831114681
27,14,13,0.5,0,8.84760672976418,0.9936873854245114
27,14,13,0.5,1,2.52305419375341,0.9936873854245114
31,16,15,0.5,0,9.132407419482945,1.3325762863080506
31,16,15,0.5,1,3.3486587927739606,1.3325762863080506
39,20,19,0.5,0,8.216631685512482,0.743932074727665
39,20,19,0.5,1,2.765692507045685,0.743932074727665
50,23,27,0.5,0,11.2142862333763,1.7654967298730195
50,23,27,0.5,1,5.974368478249346,1.7654967298730195
50,23,27,1.5,2,0.3042439474571097,1.7654967298730195
88,39,49,0.5,0,12.846974764244806,2.35198353164218
88,39,49,0.5,1,8.747075472252618,2.35198353164218
88,39,49,1.5,2,3.936356935875665,2.35198353164218
138,57,81,0.5,0,11.84516059190969,2.427151804852638
138,57,81,0.5,1,8.415259468862587,2.427151804852638
138,57,81,1.5,2,4.364810097524696,2.427151804852638
138,57,81,2.5,3,-0.1304844733981554,2.427151804852638
207,82,125,0.5,0,14.811723849061309,2.7973612388430364
207,82,125,0.5,1,12.053789278748809,2.7973612388430364
207,82,125,1.5,2,8.712892672303724,2.7973612388430364
207,82,125,2.5,3,4.897436281922637,2.7973612388430364
207,82,125,3.5,4,0.739878317597686,2.7973612388430364
