#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,B.E Lambda(MeV),EL_check(MeV)
12,6,6,0.5,0,12.01451154882659,-5.328727103490324
12,6,6,0.5,1,0.6105253332351737,-5.328727103490324
15,8,7,0.5,0,13.445548147479784,-5.764794462718063
15,8,7,0.5,1,2.3498359625737777,-5.764794462718063
27,14,13,0.5,0,17.564965509378624,-6.465415296076792
27,14,13,0.5,1,8.004671358072443,-6.465415296076792
31,16,15,0.5,0,18.390970153449643,-6.469553450187766
31,16,15,0.5,1,8.87709133112304,-6.469553450187766
31,16,15,1.5,2,-0.26230562693004345,-6.469553450187766
39,20,19,0.5,0,19.386991788735088,-6.712543218745928
39,20,19,0.5,1,10.846790601601299,-6.712543218745928
39,20,19,1.5,2,1.981356670250591,-6.712543218745928
50,23,27,0.5,0,20.72199715409056,-6.904088569510357
50,23,27,0.5,1,13.185023200843489,-6.904088569510357
50,23,27,1.5,2,4.85485447678343,-6.904088569510357
55,26,29,0.5,0,21.22907743001167,-6.947304214612199
55,26,29,0.5,1,13.99830922627632,-6.947304214612199
55,26,29,1.5,2,5.904356093646925,-6.947304214612199
88,39,49,0.5,0,22.934075700369817,-7.143525234890351
88,39,49,0.5,1,17.14093338164423,-7.143525234890351
88,39,49,1.5,2,10.4399980178747,-7.143525234890351
88,39,49,2.5,3,3.208707677451116,-7.143525234890351
138,57,81,0.5,0,23.637859147805784,-7.325323619844905
138,57,81,0.5,1,19.289714616555784,-7.325323619844905
138,57,81,1.5,2,14.01067904831848,-7.325323619844905
138,57,81,2.5,3,8.015810769815289,-7.325323619844905
138,57,81,3.5,4,1.5661673963256817,-7.325323619844905
207,82,125,0.5,0,25.1097194885549,-7.388568716860686
207,82,125,0.5,1,21.5141384338674,-7.388568716860686
207,82,125,1.5,2,17.174586508208222,-7.388568716860686
207,82,125,2.5,3,12.206477377348847,-7.388568716860686
207,82,125,3.5,4,6.737903807097382,-7.388568716860686
207,82,125,4.5,5,0.9325371717748112,-7.388568716860686
