#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
105,SLy4,J-33L-30K0ms_m0.6,-32.99999991578426,-29.999999695428077,1.6257612855952178e-07,0.5999999999845264,0.9860016900994474
1564,SLy4,J-33L-50K100ms_m0.65,-32.99999997858529,-49.99999992673929,100.00000001996816,0.6500000000426952,2.3124640343627823
1573,SLy4,J-33L-50K200ms_m0.65,-32.99999999773404,-49.99999999704187,199.99999997612773,0.6500000000426952,2.1331502618213896
168,SLy4,J-33L-10K300ms_m0.6,-32.9999999840898,-9.999999952500502,299.99999997725325,0.6000000000175344,1.1202109621005525
1584,SLy4,J-33L-50K400ms_m0.75,-33.00000002973286,-50.00000010577199,399.999999954105,0.7499999999621236,2.0612768667136474
1593,SLy4,J-33L-50K500ms_m0.75,-33.00000003650324,-50.0000001141828,500.0000000340483,0.7499999999621236,1.9457745401873612
231,SLy4,J-33L10K600ms_m0.6,-33.00000001641062,9.999999937777886,599.9999999563394,0.5999999999845264,1.2779977359154284
322,SLy4,J-32L-30K0ms_m0.65,-32.00000000587741,-30.000000055670625,-1.976773944534216e-07,0.6500000000136412,0.8788450637869976
1852,SLy4,J-32L-50K100ms_m0.65,-31.999999970432413,-49.9999998937094,100.00000005419044,0.6500000000426952,1.789204353568122
1862,SLy4,J-32L-50K200ms_m0.7,-31.99999999763364,-49.99999999429795,199.9999999898879,0.7000000000201563,1.6750099535074623
385,SLy4,J-32L-10K300ms_m0.65,-31.99999997475805,-9.999999913337549,300.0000000249342,0.6500000000136412,0.9042550579436704
1872,SLy4,J-32L-50K400ms_m0.75,-32.000000021579986,-50.00000007274198,399.9999999883278,0.7499999999621236,1.5515502327548258
1882,SLy4,J-32L-50K500ms_m0.8,-32.00000002010712,-50.000000039781696,500.0000001517884,0.7999999999970194,1.5059564455644967
474,SLy4,J-32L20K600ms_m0.6,-32.00000000976283,19.999999960833776,599.9999999638188,0.6000000000340384,1.0250255100660028
513,SLy4,J-31L-40K0ms_m0.75,-30.99999999114505,-39.99999999342765,-1.2238417212984132e-07,0.7500000000265925,0.8170657444553701
2142,SLy4,J-31L-50K100ms_m0.75,-30.999999990322223,-49.99999996793815,100.00000000609566,0.7499999999621236,1.3895143405931782
2152,SLy4,J-31L-50K200ms_m0.8,-31.00000000029749,-50.00000000199012,199.99999999644407,0.7999999999970194,1.299828657913657
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.7904743154035094
2162,SLy4,J-31L-50K400ms_m0.85,-31.000000011494784,-50.00000002975855,400.0000000439163,0.849999999998599,1.1590883688785734
2172,SLy4,J-31L-50K500ms_m0.9,-31.000000014192963,-50.0000000176866,500.0000001654325,0.9000000000065753,1.14757822660421
691,SLy4,J-31L20K600ms_m0.65,-31.0000000052398,19.999999982467727,600.0000000025002,0.6499999999942719,0.860314618962402
