#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
53,SLy4,J-33L-50K0ms_m0.7,-32.99999996785175,-49.99999989830837,-1.8912544419436017e-08,0.7000000000313881,1.096648294238222
79,SLy4,J-33L-40K0ms_m0.65,-32.999999973437525,-39.99999992237599,-4.880649839833495e-08,0.6499999999555333,1.021468064333515
105,SLy4,J-33L-30K0ms_m0.6,-32.99999991578426,-29.999999695428077,1.6257612855952178e-07,0.5999999999845264,0.9860016900994474
142,SLy4,J-33L-20K300ms_m0.65,-33.00000000917011,-20.00000004915637,299.99999989616254,0.6499999999942719,1.1355108198779669
168,SLy4,J-33L-10K300ms_m0.6,-32.9999999840898,-9.999999952500502,299.99999997725325,0.6000000000175344,1.1202109621005525
195,SLy4,J-33L0K300ms_m0.6,-32.99999998955067,2.4261112230306026e-08,299.9999999500398,0.6000000000175344,1.1933282092594104
231,SLy4,J-33L10K600ms_m0.6,-33.00000001641062,9.999999937777886,599.9999999563394,0.5999999999845264,1.2779977359154284
258,SLy4,J-33L20K600ms_m0.6,-33.00000000232768,19.999999992714606,600.0000000073012,0.5999999999845264,1.3140906290705126
270,SLy4,J-32L-50K0ms_m0.75,-31.999999992131198,-49.99999999468969,-1.1233441199465233e-07,0.7499999999750174,0.9249195468534994
296,SLy4,J-32L-40K0ms_m0.7,-31.99999996260098,-39.99999987572278,1.368475466279051e-08,0.6999999999639966,0.887015973426087
322,SLy4,J-32L-30K0ms_m0.65,-32.00000000587741,-30.000000055670625,-1.976773944534216e-07,0.6500000000136412,0.8788450637869976
348,SLy4,J-32L-20K0ms_m0.6,-31.999999832203716,-19.99999937891289,3.92156934481136e-07,0.5999999999680222,0.9170457186227616
385,SLy4,J-32L-10K300ms_m0.65,-31.99999997475805,-9.999999913337549,300.0000000249342,0.6500000000136412,0.9042550579436704
411,SLy4,J-32L0K300ms_m0.6,-31.99999998225076,5.3026212754048174e-08,299.99999997573286,0.6000000000340384,0.9356363288305152
448,SLy4,J-32L10K600ms_m0.65,-32.00000000963763,9.99999996414698,599.9999999784326,0.6500000000330105,1.056937142817883
474,SLy4,J-32L20K600ms_m0.6,-32.00000000976283,19.999999960833776,599.9999999638188,0.6000000000340384,1.0250255100660028
487,SLy4,J-31L-50K0ms_m0.8,-30.999999975308555,-49.999999918155765,9.670564793395895e-09,0.7999999999970194,0.8175697974142649
513,SLy4,J-31L-40K0ms_m0.75,-30.99999999114505,-39.99999999342765,-1.2238417212984132e-07,0.7500000000265925,0.8170657444553701
550,SLy4,J-31L-30K300ms_m0.8,-30.99999999956332,-29.99999999731932,300.00000001078564,0.7999999999970194,0.8275620848347243
576,SLy4,J-31L-20K300ms_m0.75,-30.99999998991497,-19.999999967967767,299.9999999967728,0.7500000000523801,0.7986871422118007
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.7904743154035094
628,SLy4,J-31L0K300ms_m0.65,-30.99999997121313,1.0071858014271129e-07,300.00000004047257,0.6499999999942718,0.8455052130017903
665,SLy4,J-31L10K600ms_m0.7,-31.000000030521107,9.999999884772649,599.9999999191607,0.7000000000313881,0.8761396444872116
691,SLy4,J-31L20K600ms_m0.65,-31.0000000052398,19.999999982467727,600.0000000025002,0.6499999999942719,0.860314618962402
704,SLy4,J-30L-50K0ms_m0.85,-29.999999973466643,-49.99999991654397,-1.825872431027165e-08,0.849999999998599,0.8281926081594116
741,SLy4,J-30L-40K300ms_m0.9,-29.999999997960188,-39.9999999910736,300.0000000125556,0.9000000000065753,0.7892882280113801
767,SLy4,J-30L-30K300ms_m0.85,-30.00000000749329,-30.000000034794795,299.9999999437688,0.849999999998599,0.746439981327712
793,SLy4,J-30L-20K300ms_m0.8,-30.000000011948245,-20.000000053140557,299.999999925657,0.7999999999970194,0.754240209744476
829,SLy4,J-30L-10K600ms_m0.8,-30.000000035209005,-10.00000012162785,599.9999999679478,0.7999999999970194,0.7603673420955114
856,SLy4,J-30L0K600ms_m0.8,-30.000000008096823,-1.4574123241573034e-08,600.0000000710266,0.7999999999970193,0.7429082336350328
882,SLy4,J-30L10K600ms_m0.75,-30.000000023080435,9.999999914418794,599.9999999475015,0.750000000000805,0.7303355342807818
908,SLy4,J-30L20K600ms_m0.7,-29.99999999525612,20.00000002485612,600.0000000564618,0.7000000000313881,0.7755512566424724
932,SLy4,J-29L-50K300ms_m1.0,-29.00000000422257,-50.00000000140599,300.00000007211526,1.0,0.9006152165527255
2777,SLy4,J-29L-40K400ms_m1.0,-29.000000034137187,-40.00000012147214,399.99999994801146,1.0,0.8429624216152801
2821,SLy4,J-29L-30K500ms_m0.95,-29.000000015097925,-30.00000002943969,500.0000001173233,0.9500000000006396,0.8103615314268348
1021,SLy4,J-29L-20K600ms_m0.95,-29.00000001243953,-20.00000001921356,600.0000001235117,0.9500000000006396,0.7986446457071928
1047,SLy4,J-29L-10K600ms_m0.9,-29.000000011185065,-10.000000008984244,600.0000001626902,0.8999999999880084,0.7617942242083395
1073,SLy4,J-29L0K600ms_m0.85,-29.000000021144608,-5.483761356117611e-08,600.0000000896389,0.849999999998599,0.7578329884872598
1099,SLy4,J-29L10K600ms_m0.8,-29.00000000540492,9.999999995217069,600.0000000780357,0.7999999999970194,0.7555419895906995
1125,SLy4,J-29L20K600ms_m0.75,-29.00000002038847,19.99999992421016,599.9999999545103,0.750000000000805,0.8033847284318665
3011,SLy4,J-28L-50K100ms_m1.0,-27.99999999741854,-49.99999999342964,99.99999999299295,1.0,1.1676478914395405
1175,SLy4,J-28L-40K300ms_m1.0,-28.000000001530573,-39.9999999916145,300.0000000791242,1.0,1.0826022702618896
3101,SLy4,J-28L-30K400ms_m1.0,-28.00000003144521,-30.00000011168061,399.9999999550205,1.0,1.026019653530645
1238,SLy4,J-28L-20K600ms_m1.0,-28.000000035557235,-20.00000010986554,600.0000000411517,1.0,0.9509104135210512
1264,SLy4,J-28L-10K600ms_m0.95,-28.000000009747566,-10.000000009422024,600.000000130521,0.9500000000006396,0.92984356683228
1290,SLy4,J-28L0K600ms_m0.9,-28.000000026602905,-8.974156173735538e-08,599.9999999886013,0.9000000000065753,0.9189797181302064
1316,SLy4,J-28L10K600ms_m0.85,-28.000000036135997,9.99999986653714,599.9999999198144,0.849999999998599,0.9203169463182448
1342,SLy4,J-28L20K600ms_m0.8,-28.00000000271293,20.0000000050086,600.0000000850447,0.7999999999970194,0.940929071515852
1355,SLy4,J-27L-50K0ms_m1.0,-26.999999982495268,-49.999999951988855,-5.2727614274772356e-08,1.0,1.5685687608447234
1382,SLy4,J-27L-40K0ms_m1.0,-26.99999998795616,-39.99999997522752,-7.994130157840118e-08,1.0,1.4902337462071675
1418,SLy4,J-27L-30K300ms_m1.0,-26.99999999883859,-29.999999981823077,300.0000000861333,1.0,1.376218901389126
1445,SLy4,J-27L-20K300ms_m1.0,-27.000000008953627,-20.000000041361545,299.99999993420323,1.0,1.316784275253754
3470,SLy4,J-27L-10K500ms_m1.0,-27.000000026094853,-10.000000091663196,499.9999999682178,1.0,1.2657460007474772
1508,SLy4,J-27L0K600ms_m1.0,-27.00000000575312,6.979377076277161e-09,600.0000001512399,1.0,1.1826861693355892
1533,SLy4,J-27L10K600ms_m0.9,-27.00000002391097,9.99999992004963,599.9999999956101,0.9000000000065753,1.1742754269403006
1559,SLy4,J-27L20K600ms_m0.85,-27.000000000870976,20.00000000662069,600.0000000571156,0.849999999998599,1.182170920252971
