#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
487,SLy4,J-31L-50K0ms_m0.8,-30.999999975308555,-49.999999918155765,9.670564793395895e-09,0.7999999999970194,0.8175697974142649
2722,SLy4,J-29L-50K100ms_m0.95,-28.999999974300856,-49.99999990277769,100.00000007535265,0.9500000000006396,1.0066765262071768
2731,SLy4,J-29L-50K200ms_m0.95,-29.00000000852651,-50.00000003869293,199.99999993937465,0.9500000000006396,0.9377927610973612
715,SLy4,J-30L-50K300ms_m0.95,-30.00000001380577,-50.00000004168568,300.00000002290346,0.9500000000068456,0.845973129803259
2452,SLy4,J-30L-50K400ms_m0.95,-30.00000002044825,-50.00000004945693,400.0000001041259,0.9500000000006396,0.9111515030264644
2462,SLy4,J-30L-50K500ms_m1.0,-30.000000043599584,-50.00000013967423,500.00000002094566,1.0,0.9204657620896536
725,SLy4,J-30L-50K600ms_m1.0,-30.000000233712115,-50.000000934503646,599.9999990492199,1.0,0.9822929405864412
513,SLy4,J-31L-40K0ms_m0.75,-30.99999999114505,-39.99999999342765,-1.2238417212984132e-07,0.7500000000265925,0.8170657444553701
2756,SLy4,J-29L-40K100ms_m0.85,-28.999999995228396,-40.000000003579885,99.99999989185991,0.849999999998599,1.0597041493332775
2766,SLy4,J-29L-40K200ms_m0.9,-29.00000000146325,-40.00000000919144,199.9999999780097,0.9000000000065753,0.955256576094938
741,SLy4,J-30L-40K300ms_m0.9,-29.999999997960188,-39.9999999910736,300.0000000125556,0.9000000000065753,0.7892882280113801
2777,SLy4,J-29L-40K400ms_m1.0,-29.000000034137187,-40.00000012147214,399.99999994801146,1.0,0.8429624216152801
2786,SLy4,J-29L-40K500ms_m1.0,-29.00000000833458,-39.99999999959084,500.00000015824656,1.0,0.855134686125308
751,SLy4,J-30L-40K600ms_m0.95,-30.000000027371925,-40.00000009427288,599.999999966703,0.9500000000015082,0.9023732466323474
539,SLy4,J-31L-30K0ms_m0.7,-30.999999978445203,-29.999999958612875,-1.6466931640479745e-07,0.6999999999864606,0.8529913614840213
2790,SLy4,J-29L-30K100ms_m0.75,-29.000000002621636,-30.00000003677189,99.9999998432803,0.7499999999621236,1.1832636484808894
2800,SLy4,J-29L-30K200ms_m0.8,-28.999999986259084,-29.99999996193617,199.99999996019977,0.7999999999970194,1.0397326453678897
767,SLy4,J-30L-30K300ms_m0.85,-30.00000000749329,-30.000000034794795,299.9999999437688,0.849999999998599,0.746439981327712
2811,SLy4,J-29L-30K400ms_m0.9,-29.000000002038615,-29.999999989692995,400.0000000995079,0.9000000000065753,0.863556596767613
2821,SLy4,J-29L-30K500ms_m0.95,-29.000000015097925,-30.00000002943969,500.0000001173233,0.9500000000006396,0.8103615314268348
777,SLy4,J-30L-30K600ms_m0.9,-29.99999998793909,-29.999999860578555,600.0000005831032,0.8999999999880084,0.8412410805517194
565,SLy4,J-31L-20K0ms_m0.65,-30.99999992229678,-19.9999997391551,3.19036530527228e-08,0.6499999999942719,0.9155071241316202
3115,SLy4,J-28L-20K100ms_m0.8,-27.999999959113357,-19.99999985531707,100.00000006409924,0.7999999999970194,1.283139895754566
3125,SLy4,J-28L-20K200ms_m0.85,-27.999999972194686,-19.999999895145837,200.0000000818906,0.849999999998599,1.1551594028120182
793,SLy4,J-30L-20K300ms_m0.8,-30.000000011948245,-20.000000053140557,299.999999925657,0.7999999999970194,0.754240209744476
2846,SLy4,J-29L-20K400ms_m0.85,-29.000000011571707,-20.000000033414125,400.0000000307211,0.849999999998599,0.9136080156263412
2856,SLy4,J-29L-20K500ms_m0.9,-29.000000031953235,-20.000000109759057,499.999999975404,0.9000000000065753,0.8288196083204299
803,SLy4,J-30L-20K600ms_m0.85,-30.00000001837568,-20.00000004139025,600.0000001098437,0.849999999998599,0.7947195805452911
591,SLy4,J-31L-10K0ms_m0.6,-31.00000012910911,-10.000000639097038,-1.228741268732847e-06,0.5999999999845264,1.0275504889027611
3149,SLy4,J-28L-10K100ms_m0.7,-27.99999997295822,-9.999999920807682,99.99999995072052,0.7000000000201563,1.4045676868813572
3159,SLy4,J-28L-10K200ms_m0.75,-27.99999997958793,-9.999999928337786,200.00000003331104,0.7499999999621236,1.254748739129253
819,SLy4,J-30L-10K300ms_m0.75,-29.99999998734792,-9.999999958801084,300.0000000025325,0.7499999999492298,0.7684665537862068
3170,SLy4,J-28L-10K400ms_m0.85,-27.999999999107825,-9.999999984535066,400.0000000768176,0.849999999998599,1.0496635693590968
2890,SLy4,J-29L-10K500ms_m0.8,-29.000000002602413,-9.999999991770428,500.0000000990608,0.7999999999970194,0.9289933387326011
829,SLy4,J-30L-10K600ms_m0.8,-30.000000035209005,-10.00000012162785,599.9999999679478,0.7999999999970194,0.7603673420955114
834,SLy4,J-30L0K0ms_m0.6,-29.999999888937168,4.603751904141973e-07,5.667533713449302e-07,0.6000000000175344,1.2199918529379896
3473,SLy4,J-27L0K100ms_m0.7,-26.99999997026623,8.898382475308608e-08,99.99999995772944,0.7000000000201563,1.5623417023026356
3194,SLy4,J-28L0K200ms_m0.7,-27.999999970299825,8.941827900343925e-08,199.99999995690877,0.7000000000201563,1.4225395959685745
845,SLy4,J-30L0K300ms_m0.7,-29.99999999380248,1.2815007721656002e-08,299.9999999641422,0.7000000000313881,0.8172076123923182
3205,SLy4,J-28L0K400ms_m0.8,-27.99999999965462,3.734612619155087e-10,400.0000000000685,0.7999999999970194,1.1177185649837982
3215,SLy4,J-28L0K500ms_m0.85,-28.00000000622135,-1.3396714848568081e-08,500.0000000439183,0.849999999998599,1.0066835291880831
856,SLy4,J-30L0K600ms_m0.8,-30.000000008096823,-1.4574123241573034e-08,600.0000000710266,0.7999999999970193,0.7429082336350328
1077,SLy4,J-29L10K0ms_m0.6,-28.99999982474577,10.000000679944492,6.024420713401923e-07,0.6000000000340384,1.4712235920339671
3507,SLy4,J-27L10K100ms_m0.6,-27.00000007816172,9.99999965084828,99.9999994893836,0.6000000000257864,1.6894433453519453
