#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
78,SLy4,J-33L-40K0ms_m0.6,-32.999999975469336,-39.99999993277368,-7.079444230839728e-08,0.5999999999845264,1.0547411114761962
321,SLy4,J-32L-30K0ms_m0.6,-32.00000000449751,-30.0000000490096,-1.8554773362211566e-07,0.5999999999680222,0.938354593865782
348,SLy4,J-32L-20K0ms_m0.6,-31.999999832203716,-19.99999937891289,3.92156934481136e-07,0.5999999999680222,0.9170457186227616
384,SLy4,J-32L-10K300ms_m0.6,-31.999999975083995,-9.999999915205876,300.0000000200049,0.6000000000010304,0.9924714900150292
627,SLy4,J-31L0K300ms_m0.6,-30.999999973244968,9.032089565153001e-08,300.0000000184846,0.6000000000175344,0.9224698242502836
654,SLy4,J-31L10K300ms_m0.6,-30.99999997699993,10.00000007561198,300.00000000833006,0.5999999999845264,0.8841175253694546
690,SLy4,J-31L20K600ms_m0.6,-31.000000009830423,19.99999995927601,599.9999999549241,0.6000000000670465,0.9630350828605538
52,SLy4,J-33L-50K0ms_m0.65,-32.99999997138843,-49.9999999161962,-5.571052952291212e-08,0.6500000000330105,1.0974514756947635
295,SLy4,J-32L-40K0ms_m0.65,-31.9999999669906,-39.99999989787534,-3.1642699127587555e-08,0.6499999999942719,0.9279397694336924
322,SLy4,J-32L-30K0ms_m0.65,-32.00000000587741,-30.000000055670625,-1.976773944534216e-07,0.6500000000136412,0.8788450637869976
565,SLy4,J-31L-20K0ms_m0.65,-30.99999992229678,-19.9999997391551,3.19036530527228e-08,0.6499999999942719,0.9155071241316202
601,SLy4,J-31L-10K300ms_m0.65,-30.999999999178183,-10.000000010599592,299.9999999288646,0.6500000000136411,0.865632843861086
628,SLy4,J-31L0K300ms_m0.65,-30.99999997121313,1.0071858014271129e-07,300.00000004047257,0.6499999999942718,0.8455052130017903
871,SLy4,J-30L10K300ms_m0.65,-29.9999999693741,10.000000106245352,300.0000000389522,0.6500000000136411,0.9014603026128216
907,SLy4,J-30L20K600ms_m0.65,-29.999999997086935,20.00000001549759,600.0000000367224,0.6499999999942719,0.848922026439828
269,SLy4,J-32L-50K0ms_m0.7,-31.99999998886014,-49.99999997851177,-8.086477976121388e-08,0.6999999999415328,0.9396449430895052
512,SLy4,J-31L-40K0ms_m0.7,-30.999999986168177,-39.99999996872043,-7.38558583179838e-08,0.6999999999415328,0.8752198707948242
539,SLy4,J-31L-30K0ms_m0.7,-30.999999978445203,-29.999999958612875,-1.6466931640479745e-07,0.6999999999864606,0.8529913614840213
575,SLy4,J-31L-20K300ms_m0.7,-30.999999988412284,-19.999999960631555,300.00000001055923,0.7000000000089244,0.8414013769923043
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.7904743154035094
845,SLy4,J-30L0K300ms_m0.7,-29.99999999380248,1.2815007721656002e-08,299.9999999641422,0.7000000000313881,0.8172076123923182
881,SLy4,J-30L10K600ms_m0.7,-30.00000001895649,9.999999934861409,599.9999999875006,0.6999999999415328,0.7842606818426989
