#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
348,SLy4,J-32L-20K0ms_m0.6,-31.999999832203716,-19.99999937891289,3.92156934481136e-07,0.5999999999680222,0.8399726494400847
438,SLy4,J-32L10K300ms_m0.6,-31.999999986005776,10.000000038317012,299.9999999655781,0.6000000000010303,0.7411661269598033
474,SLy4,J-32L20K600ms_m0.6,-32.00000000976283,19.999999960833776,599.9999999638188,0.6000000000340384,1.089372203696767
538,SLy4,J-31L-30K0ms_m0.65,-30.99999996344559,-29.999999883819328,-1.6104166888908367e-08,0.6499999999749027,0.8050674880036734
385,SLy4,J-32L-10K300ms_m0.65,-31.99999997475805,-9.999999913337549,300.0000000249342,0.6500000000136412,0.6126583798929782
232,SLy4,J-33L10K600ms_m0.65,-33.000000017790526,9.99999993111689,599.99999994421,0.6500000000330105,0.8328809814190067
539,SLy4,J-31L-30K0ms_m0.7,-30.999999978445203,-29.999999958612875,-1.6466931640479745e-07,0.6999999999864606,0.8244532110871761
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.5576940353420887
449,SLy4,J-32L10K600ms_m0.7,-32.00000000439511,9.999999990564078,600.000000032289,0.6999999999864606,0.6892483349580911
729,SLy4,J-30L-40K0ms_m0.75,-29.999999982139254,-39.99999995613291,-7.963248549458514e-08,0.750000000000805,0.8153041388140684
576,SLy4,J-31L-20K300ms_m0.75,-30.99999998991497,-19.999999967967767,299.9999999967728,0.7500000000523801,0.5798022983049813
666,SLy4,J-31L10K600ms_m0.75,-31.0000000329392,9.999999872859291,599.9999998962203,0.75000000005238,0.6580989610302124
703,SLy4,J-30L-50K0ms_m0.8,-29.99999996715572,-49.99999988512605,4.389304564256236e-08,0.7999999999970194,0.8546498358765898
793,SLy4,J-30L-20K300ms_m0.8,-30.000000011948245,-20.000000053140557,299.999999925657,0.7999999999970194,0.5686995507090243
613,SLy4,J-31L-10K600ms_m0.8,-31.000000010788877,-10.000000024365832,600.0000000640179,0.7999999999970194,0.6764388377892587
920,SLy4,J-29L-50K0ms_m0.85,-28.99999999788676,-50.00000001380579,-1.1432818070034045e-07,0.849999999998599,0.8727438691518782
767,SLy4,J-30L-30K300ms_m0.85,-30.00000000749329,-30.000000034794795,299.9999999437688,0.849999999998599,0.644922645451909
830,SLy4,J-30L-10K600ms_m0.85,-30.0000000238366,-10.000000064628892,600.0000000826299,0.849999999998599,0.6928355229810078
921,SLy4,J-29L-50K0ms_m0.9,-28.99999999381454,-49.99999999332317,-7.275488655977824e-08,0.9000000000065753,0.9611723960315114
957,SLy4,J-29L-40K300ms_m0.9,-29.000000022380327,-40.00000008833561,299.99999991648593,0.9000000000065753,0.7628883788233746
831,SLy4,J-30L-10K600ms_m0.9,-30.00000003731978,-10.000000131923317,599.9999999486489,0.9000000000010053,0.7165126125510766
1138,SLy4,J-28L-50K0ms_m0.95,-27.99999999212119,-49.999999992481946,-1.0236603564806047e-07,0.9500000000089144,1.0408562002711104
931,SLy4,J-29L-50K300ms_m0.95,-29.000000005610303,-50.00000000844262,300.0000000575524,0.9500000000047768,0.8116973665888279
1021,SLy4,J-29L-20K600ms_m0.95,-29.00000001243953,-20.00000001921356,600.0000001235117,0.9500000000006396,0.7764488206032804
1139,SLy4,J-28L-50K0ms_m1.0,-27.999999990648163,-49.99999998501886,-8.695022302163126e-08,1.0,1.137997126409749
1175,SLy4,J-28L-40K300ms_m1.0,-28.000000001530573,-39.9999999916145,300.0000000791242,1.0,0.9431335417049816
995,SLy4,J-29L-30K600ms_m1.0,-29.000000108982704,-30.00000047332412,599.9999993268088,1.0,0.9015180863348764
