#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
294,SLy4,J-32L-40K0ms_m0.6,-31.99999996731654,-39.99999989974367,-3.6571961459230806e-08,0.5999999999845264,1.005359729410751
321,SLy4,J-32L-30K0ms_m0.6,-32.00000000449751,-30.0000000490096,-1.8554773362211566e-07,0.5999999999680222,0.8677054457268609
348,SLy4,J-32L-20K0ms_m0.6,-31.999999832203716,-19.99999937891289,3.92156934481136e-07,0.5999999999680222,0.8399726494400847
168,SLy4,J-33L-10K300ms_m0.6,-32.9999999840898,-9.999999952500502,299.99999997725325,0.6000000000175344,0.7702427628983926
195,SLy4,J-33L0K300ms_m0.6,-32.99999998955067,2.4261112230306026e-08,299.9999999500398,0.6000000000175344,0.7521688693069472
438,SLy4,J-32L10K300ms_m0.6,-31.999999986005776,10.000000038317012,299.9999999655781,0.6000000000010303,0.7411661269598033
474,SLy4,J-32L20K600ms_m0.6,-32.00000000976283,19.999999960833776,599.9999999638188,0.6000000000340384,1.089372203696767
268,SLy4,J-32L-50K0ms_m0.65,-31.999999995808565,-50.00000001345836,-1.5178000012383566e-07,0.6500000000330105,1.0497513833700172
511,SLy4,J-31L-40K0ms_m0.65,-30.999999991410704,-39.9999999951375,-1.277122834153488e-07,0.6499999999942719,0.8850866038940999
538,SLy4,J-31L-30K0ms_m0.65,-30.99999996344559,-29.999999883819328,-1.6104166888908367e-08,0.6499999999749027,0.8050674880036734
358,SLy4,J-32L-20K300ms_m0.65,-31.99999999662764,-19.99999999417838,299.99999997428097,0.6499999999749027,0.7542750427051117
385,SLy4,J-32L-10K300ms_m0.65,-31.99999997475805,-9.999999913337549,300.0000000249342,0.6500000000136412,0.6126583798929782
412,SLy4,J-32L0K300ms_m0.65,-31.99999997851305,7.19532522452937e-08,300.0000000147796,0.6499999999749027,0.7852732437968984
439,SLy4,J-32L10K300ms_m0.65,-32.000000004216105,9.999999947503966,299.99999978514467,0.6500000000330105,0.7699123596981287
691,SLy4,J-31L20K600ms_m0.65,-31.0000000052398,19.999999982467727,600.0000000025002,0.6499999999942719,1.021864358876537
485,SLy4,J-31L-50K0ms_m0.7,-30.999999981560197,-49.99999994974627,-5.517165391211166e-08,0.6999999999639966,0.8975164856412575
728,SLy4,J-30L-40K0ms_m0.7,-29.999999978015296,-39.99999993569031,-3.9633249571124907e-08,0.6999999999415328,0.8586343023948619
539,SLy4,J-31L-30K0ms_m0.7,-30.999999978445203,-29.999999958612875,-1.6466931640479745e-07,0.6999999999864606,0.8244532110871761
575,SLy4,J-31L-20K300ms_m0.7,-30.999999988412284,-19.999999960631555,300.00000001055923,0.7000000000089244,0.6156786125427295
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.5576940353420887
413,SLy4,J-32L0K300ms_m0.7,-31.999999976682236,8.131183903969942e-08,300.00000003451885,0.7000000000089243,0.8132488196575891
449,SLy4,J-32L10K600ms_m0.7,-32.00000000439511,9.999999990564078,600.000000032289,0.6999999999864606,0.6892483349580911
692,SLy4,J-31L20K600ms_m0.7,-31.00000000085018,20.000000004620205,600.0000000478275,0.6999999999639966,0.7239530775139398
702,SLy4,J-30L-50K0ms_m0.75,-29.9999999766784,-49.999999932894525,-5.241918188403361e-08,0.750000000000805,0.8522539156212486
729,SLy4,J-30L-40K0ms_m0.75,-29.999999982139254,-39.99999995613291,-7.963248549458514e-08,0.750000000000805,0.8153041388140684
549,SLy4,J-31L-30K300ms_m0.75,-31.000000009085998,-30.00000004508766,299.9999999144737,0.750000000000805,0.7253063626679768
576,SLy4,J-31L-20K300ms_m0.75,-30.99999998991497,-19.999999967967767,299.9999999967728,0.7500000000523801,0.5798022983049813
603,SLy4,J-31L-10K300ms_m0.75,-30.999999997206658,-10.000000000360274,299.9999999512513,0.750000000000805,0.6277736471703
630,SLy4,J-31L0K300ms_m0.75,-30.999999970947457,1.0242860071230099e-07,300.00000004580073,0.7500000000265925,0.8350304272706572
666,SLy4,J-31L10K600ms_m0.75,-31.0000000329392,9.999999872859291,599.9999998962203,0.75000000005238,0.6580989610302124
